county,precinct,office,district,party,candidate,mail,provisional,votes
Monmouth,Freehold Township 12,Registered Voters,,,,,,1750
Monmouth,Freehold Township 13,Registered Voters,,,,,,552
Monmouth,Freehold Township 14,Registered Voters,,,,,,787
Monmouth,Freehold Township 15,Registered Voters,,,,,,1053
Monmouth,Freehold Township 16,Registered Voters,,,,,,1533
Monmouth,Freehold Township 17,Registered Voters,,,,,,1176
Monmouth,Freehold Township 18,Registered Voters,,,,,,1498
Monmouth,Freehold Township 19,Registered Voters,,,,,,1175
Monmouth,Freehold Township 20,Registered Voters,,,,,,1245
Monmouth,Freehold Township 21,Registered Voters,,,,,,749
Monmouth,Freehold Township 22,Registered Voters,,,,,,728
Monmouth,Freehold Township 23,Registered Voters,,,,,,1069
Monmouth,Freehold Township 24,Registered Voters,,,,,,665
Monmouth,Freehold Township 25,Registered Voters,,,,,,684
Monmouth,Freehold Township 26,Registered Voters,,,,,,824
Monmouth,Hazlet Township 1,Registered Voters,,,,,,944
Monmouth,Hazlet Township 2,Registered Voters,,,,,,1682
Monmouth,Hazlet Township 3,Registered Voters,,,,,,1240
Monmouth,Hazlet Township 4,Registered Voters,,,,,,781
Monmouth,Hazlet Township 5,Registered Voters,,,,,,800
Monmouth,Hazlet Township 6,Registered Voters,,,,,,954
Monmouth,Hazlet Township 7,Registered Voters,,,,,,1156
Monmouth,Hazlet Township 8,Registered Voters,,,,,,575
Monmouth,Hazlet Township 9,Registered Voters,,,,,,1169
Monmouth,Hazlet Township 10,Registered Voters,,,,,,637
Monmouth,Hazlet Township 11,Registered Voters,,,,,,964
Monmouth,Hazlet Township 12,Registered Voters,,,,,,545
Monmouth,Hazlet Township 13,Registered Voters,,,,,,887
Monmouth,Hazlet Township 14,Registered Voters,,,,,,570
Monmouth,Hazlet Township 15,Registered Voters,,,,,,538
Monmouth,Hazlet Township 16,Registered Voters,,,,,,999
Monmouth,Hazlet Township 17,Registered Voters,,,,,,550
Monmouth,Highlands Borough 1,Registered Voters,,,,,,1103
Monmouth,Highlands Borough 2,Registered Voters,,,,,,1001
Monmouth,Highlands Borough 3,Registered Voters,,,,,,640
Monmouth,Highlands Borough 4,Registered Voters,,,,,,842
Monmouth,Holmdel Township 1,Registered Voters,,,,,,1258
Monmouth,Holmdel Township 2,Registered Voters,,,,,,1407
Monmouth,Holmdel Township 3,Registered Voters,,,,,,1370
Monmouth,Holmdel Township 4,Registered Voters,,,,,,1569
Monmouth,Holmdel Township 5,Registered Voters,,,,,,1653
Monmouth,Holmdel Township 6,Registered Voters,,,,,,1304
Monmouth,Holmdel Township 7,Registered Voters,,,,,,1021
Monmouth,Holmdel Township 8,Registered Voters,,,,,,1361
Monmouth,Holmdel Township 9,Registered Voters,,,,,,1171
Monmouth,Holmdel Township 10,Registered Voters,,,,,,1309
Monmouth,Howell Township 1,Registered Voters,,,,,,1536
Monmouth,Howell Township 2,Registered Voters,,,,,,1331
Monmouth,Howell Township 3,Registered Voters,,,,,,872
Monmouth,Howell Township 4,Registered Voters,,,,,,1392
Monmouth,Howell Township 5,Registered Voters,,,,,,1397
Monmouth,Howell Township 6,Registered Voters,,,,,,1346
Monmouth,Howell Township 7,Registered Voters,,,,,,1552
Monmouth,Howell Township 8,Registered Voters,,,,,,1196
Monmouth,Howell Township 9,Registered Voters,,,,,,1196
Monmouth,Howell Township 10,Registered Voters,,,,,,1153
Monmouth,Howell Township 11,Registered Voters,,,,,,984
Monmouth,Howell Township 12,Registered Voters,,,,,,810
Monmouth,Howell Township 13,Registered Voters,,,,,,1275
Monmouth,Howell Township 14,Registered Voters,,,,,,867
Monmouth,Howell Township 15,Registered Voters,,,,,,1349
Monmouth,Howell Township 16,Registered Voters,,,,,,1177
Monmouth,Howell Township 17,Registered Voters,,,,,,1380
Monmouth,Howell Township 18,Registered Voters,,,,,,1104
Monmouth,Howell Township 19,Registered Voters,,,,,,1311
Monmouth,Howell Township 20,Registered Voters,,,,,,1140
Monmouth,Howell Township 21,Registered Voters,,,,,,551
Monmouth,Howell Township 22,Registered Voters,,,,,,1192
Monmouth,Howell Township 23,Registered Voters,,,,,,1251
Monmouth,Howell Township 24,Registered Voters,,,,,,1005
Monmouth,Howell Township 25,Registered Voters,,,,,,1226
Monmouth,Howell Township 26,Registered Voters,,,,,,1742
Monmouth,Howell Township 27,Registered Voters,,,,,,1625
Monmouth,Howell Township 28,Registered Voters,,,,,,1113
Monmouth,Howell Township 29,Registered Voters,,,,,,1029
Monmouth,Howell Township 30,Registered Voters,,,,,,1159
Monmouth,Howell Township 31,Registered Voters,,,,,,1920
Monmouth,Howell Township 32,Registered Voters,,,,,,1108
Monmouth,Interlaken Borough 1,Registered Voters,,,,,,789
Monmouth,Keansburg Borough 1,Registered Voters,,,,,,1015
Monmouth,Keansburg Borough 2,Registered Voters,,,,,,944
Monmouth,Keansburg Borough 3,Registered Voters,,,,,,889
Monmouth,Keansburg Borough 4,Registered Voters,,,,,,999
Monmouth,Keansburg Borough 5,Registered Voters,,,,,,913
Monmouth,Keansburg Borough 6,Registered Voters,,,,,,810
Monmouth,Keyport Borough 1,Registered Voters,,,,,,780
Monmouth,Keyport Borough 2,Registered Voters,,,,,,740
Monmouth,Keyport Borough 3,Registered Voters,,,,,,983
Monmouth,Keyport Borough 4,Registered Voters,,,,,,733
Monmouth,Keyport Borough 5,Registered Voters,,,,,,661
Monmouth,Keyport Borough 6,Registered Voters,,,,,,916
Monmouth,Lake Como Borough 1,Registered Voters,,,,,,1222
Monmouth,Little Silver Borough 1,Registered Voters,,,,,,955
Monmouth,Little Silver Borough 2,Registered Voters,,,,,,622
Monmouth,Little Silver Borough 3,Registered Voters,,,,,,690
Monmouth,Little Silver Borough 4,Registered Voters,,,,,,868
Monmouth,Little Silver Borough 5,Registered Voters,,,,,,637
Monmouth,Little Silver Borough 6,Registered Voters,,,,,,665
Monmouth,Little Silver Borough 7,Registered Voters,,,,,,669
Monmouth,Loch Arbour Village 1,Registered Voters,,,,,,147
Monmouth,Long Branch City 1,Registered Voters,,,,,,454
Monmouth,Long Branch City 2,Registered Voters,,,,,,909
Monmouth,Long Branch City 3,Registered Voters,,,,,,990
Monmouth,Long Branch City 4,Registered Voters,,,,,,572
Monmouth,Long Branch City 5,Registered Voters,,,,,,1016
Monmouth,Long Branch City 6,Registered Voters,,,,,,707
Monmouth,Long Branch City 7,Registered Voters,,,,,,924
Monmouth,Long Branch City 8,Registered Voters,,,,,,645
Monmouth,Long Branch City 9,Registered Voters,,,,,,713
Monmouth,Long Branch City 10,Registered Voters,,,,,,826
Monmouth,Long Branch City 11,Registered Voters,,,,,,1519
Monmouth,Long Branch City 12,Registered Voters,,,,,,817
Monmouth,Long Branch City 13,Registered Voters,,,,,,1001
Monmouth,Long Branch City 14,Registered Voters,,,,,,1268
Monmouth,Long Branch City 15,Registered Voters,,,,,,984
Monmouth,Long Branch City 16,Registered Voters,,,,,,1036
Monmouth,Long Branch City 17,Registered Voters,,,,,,686
Monmouth,Manalapan Township 1,Registered Voters,,,,,,818
Monmouth,Manalapan Township 2,Registered Voters,,,,,,1206
Monmouth,Manalapan Township 3,Registered Voters,,,,,,1224
Monmouth,Manalapan Township 4,Registered Voters,,,,,,1240
Monmouth,Manalapan Township 5,Registered Voters,,,,,,1175
Monmouth,Manalapan Township 6,Registered Voters,,,,,,1516
Monmouth,Manalapan Township 7,Registered Voters,,,,,,1193
Monmouth,Manalapan Township 8,Registered Voters,,,,,,946
Monmouth,Manalapan Township 9,Registered Voters,,,,,,1018
Monmouth,Manalapan Township 10,Registered Voters,,,,,,524
Monmouth,Manalapan Township 11,Registered Voters,,,,,,532
Monmouth,Manalapan Township 12,Registered Voters,,,,,,935
Monmouth,Manalapan Township 13,Registered Voters,,,,,,883
Monmouth,Manalapan Township 14,Registered Voters,,,,,,1120
Monmouth,Manalapan Township 15,Registered Voters,,,,,,565
Monmouth,Manalapan Township 16,Registered Voters,,,,,,965
Monmouth,Manalapan Township 17,Registered Voters,,,,,,1596
Monmouth,Manalapan Township 18,Registered Voters,,,,,,1893
Monmouth,Manalapan Township 19,Registered Voters,,,,,,1212
Monmouth,Manalapan Township 20,Registered Voters,,,,,,1115
Monmouth,Manalapan Township 21,Registered Voters,,,,,,1427
Monmouth,Manalapan Township 22,Registered Voters,,,,,,1455
Monmouth,Manalapan Township 23,Registered Voters,,,,,,820
Monmouth,Manalapan Township 24,Registered Voters,,,,,,850
Monmouth,Manalapan Township 25,Registered Voters,,,,,,2330
Monmouth,Manalapan Township 26,Registered Voters,,,,,,820
Monmouth,Manalapan Township 27,Registered Voters,,,,,,1418
Monmouth,Manasquan Borough 1,Registered Voters,,,,,,1220
Monmouth,Manasquan Borough 2,Registered Voters,,,,,,1362
Monmouth,Manasquan Borough 3,Registered Voters,,,,,,1317
Monmouth,Manasquan Borough 4,Registered Voters,,,,,,1080
Monmouth,Marlboro Township 1,Registered Voters,,,,,,1846
Monmouth,Marlboro Township 2,Registered Voters,,,,,,1169
Monmouth,Marlboro Township 3,Registered Voters,,,,,,1567
Monmouth,Marlboro Township 4,Registered Voters,,,,,,1273
Monmouth,Marlboro Township 5,Registered Voters,,,,,,1205
Monmouth,Marlboro Township 6,Registered Voters,,,,,,979
Monmouth,Marlboro Township 7,Registered Voters,,,,,,1110
Monmouth,Marlboro Township 8,Registered Voters,,,,,,1209
Monmouth,Marlboro Township 9,Registered Voters,,,,,,1713
Monmouth,Marlboro Township 10,Registered Voters,,,,,,683
Monmouth,Marlboro Township 11,Registered Voters,,,,,,597
Monmouth,Marlboro Township 12,Registered Voters,,,,,,877
Monmouth,Marlboro Township 13,Registered Voters,,,,,,1536
Monmouth,Marlboro Township 14,Registered Voters,,,,,,751
Monmouth,Marlboro Township 15,Registered Voters,,,,,,706
Monmouth,Marlboro Township 16,Registered Voters,,,,,,866
Monmouth,Marlboro Township 17,Registered Voters,,,,,,940
Monmouth,Marlboro Township 18,Registered Voters,,,,,,1091
Monmouth,Marlboro Township 19,Registered Voters,,,,,,1069
Monmouth,Marlboro Township 20,Registered Voters,,,,,,913
Monmouth,Marlboro Township 21,Registered Voters,,,,,,881
Monmouth,Marlboro Township 22,Registered Voters,,,,,,995
Monmouth,Marlboro Township 23,Registered Voters,,,,,,1102
Monmouth,Marlboro Township 24,Registered Voters,,,,,,1172
Monmouth,Marlboro Township 25,Registered Voters,,,,,,1426
Monmouth,Marlboro Township 26,Registered Voters,,,,,,1089
Monmouth,Marlboro Township 27,Registered Voters,,,,,,1807
Monmouth,Marlboro Township 28,Registered Voters,,,,,,1146
Monmouth,Matawan Borough 1,Registered Voters,,,,,,641
Monmouth,Matawan Borough 2,Registered Voters,,,,,,780
Monmouth,Matawan Borough 3,Registered Voters,,,,,,929
Monmouth,Matawan Borough 4,Registered Voters,,,,,,1256
Monmouth,Matawan Borough 5,Registered Voters,,,,,,950
Monmouth,Matawan Borough 6,Registered Voters,,,,,,916
Monmouth,Matawan Borough 7,Registered Voters,,,,,,748
Monmouth,Middletown Township 1,Registered Voters,,,,,,1030
Monmouth,Middletown Township 2,Registered Voters,,,,,,1168
Monmouth,Middletown Township 3,Registered Voters,,,,,,1124
Monmouth,Middletown Township 4,Registered Voters,,,,,,1286
Monmouth,Middletown Township 5,Registered Voters,,,,,,956
Monmouth,Middletown Township 6,Registered Voters,,,,,,615
Monmouth,Middletown Township 7,Registered Voters,,,,,,1792
Monmouth,Middletown Township 8,Registered Voters,,,,,,867
Monmouth,Middletown Township 9,Registered Voters,,,,,,1487
Monmouth,Middletown Township 10,Registered Voters,,,,,,1070
Monmouth,Middletown Township 11,Registered Voters,,,,,,735
Monmouth,Middletown Township 12,Registered Voters,,,,,,878
Monmouth,Middletown Township 13,Registered Voters,,,,,,1524
Monmouth,Middletown Township 14,Registered Voters,,,,,,1348
Monmouth,Middletown Township 15,Registered Voters,,,,,,1517
Monmouth,Middletown Township 16,Registered Voters,,,,,,961
Monmouth,Middletown Township 17,Registered Voters,,,,,,862
Monmouth,Middletown Township 18,Registered Voters,,,,,,1156
Monmouth,Middletown Township 19,Registered Voters,,,,,,1660
Monmouth,Middletown Township 20,Registered Voters,,,,,,1072
Monmouth,Middletown Township 21,Registered Voters,,,,,,1333
Monmouth,Middletown Township 22,Registered Voters,,,,,,1427
Monmouth,Middletown Township 23,Registered Voters,,,,,,990
Monmouth,Middletown Township 24,Registered Voters,,,,,,1138
Monmouth,Middletown Township 25,Registered Voters,,,,,,878
Monmouth,Middletown Township 26,Registered Voters,,,,,,957
Monmouth,Middletown Township 27,Registered Voters,,,,,,1352
Monmouth,Middletown Township 28,Registered Voters,,,,,,1020
Monmouth,Middletown Township 29,Registered Voters,,,,,,1874
Monmouth,Middletown Township 30,Registered Voters,,,,,,776
Monmouth,Middletown Township 31,Registered Voters,,,,,,1024
Monmouth,Middletown Township 32,Registered Voters,,,,,,1722
Monmouth,Middletown Township 33,Registered Voters,,,,,,1206
Monmouth,Middletown Township 34,Registered Voters,,,,,,1110
Monmouth,Middletown Township 35,Registered Voters,,,,,,1021
Monmouth,Middletown Township 36,Registered Voters,,,,,,1336
Monmouth,Middletown Township 37,Registered Voters,,,,,,1089
Monmouth,Middletown Township 38,Registered Voters,,,,,,927
Monmouth,Middletown Township 39,Registered Voters,,,,,,1189
Monmouth,Middletown Township 40,Registered Voters,,,,,,536
Monmouth,Middletown Township 41,Registered Voters,,,,,,651
Monmouth,Middletown Township 42,Registered Voters,,,,,,802
Monmouth,Middletown Township 43,Registered Voters,,,,,,1199
Monmouth,Middletown Township 44,Registered Voters,,,,,,1055
Monmouth,Middletown Township 45,Registered Voters,,,,,,1109
Monmouth,Middletown Township 46,Registered Voters,,,,,,1071
Monmouth,Millstone Township 1,Registered Voters,,,,,,1006
Monmouth,Millstone Township 2,Registered Voters,,,,,,1219
Monmouth,Millstone Township 3,Registered Voters,,,,,,1370
Monmouth,Millstone Township 4,Registered Voters,,,,,,922
Monmouth,Millstone Township 5,Registered Voters,,,,,,1255
Monmouth,Millstone Township 6,Registered Voters,,,,,,1415
Monmouth,Millstone Township 7,Registered Voters,,,,,,1049
Monmouth,Monmouth Beach Borough 1,Registered Voters,,,,,,1466
Monmouth,Monmouth Beach Borough 2,Registered Voters,,,,,,1421
Monmouth,Neptune City Borough 1,Registered Voters,,,,,,791
Monmouth,Neptune City Borough 2,Registered Voters,,,,,,1159
Monmouth,Neptune City Borough 3,Registered Voters,,,,,,874
Monmouth,Neptune City Borough 4,Registered Voters,,,,,,719
Monmouth,Neptune Township 1,Registered Voters,,,,,,888
Monmouth,Neptune Township 2,Registered Voters,,,,,,632
Monmouth,Neptune Township 3,Registered Voters,,,,,,910
Monmouth,Neptune Township 4,Registered Voters,,,,,,853
Monmouth,Neptune Township 5,Registered Voters,,,,,,822
Monmouth,Neptune Township 6,Registered Voters,,,,,,664
Monmouth,Neptune Township 7,Registered Voters,,,,,,1388
Monmouth,Neptune Township 8,Registered Voters,,,,,,922
Monmouth,Neptune Township 9,Registered Voters,,,,,,1679
Monmouth,Neptune Township 10,Registered Voters,,,,,,1481
Monmouth,Neptune Township 11,Registered Voters,,,,,,1310
Monmouth,Neptune Township 12,Registered Voters,,,,,,1331
Monmouth,Neptune Township 13,Registered Voters,,,,,,686
Monmouth,Neptune Township 14,Registered Voters,,,,,,980
Monmouth,Neptune Township 15,Registered Voters,,,,,,737
Monmouth,Neptune Township 16,Registered Voters,,,,,,886
Monmouth,Neptune Township 17,Registered Voters,,,,,,1486
Monmouth,Neptune Township 18,Registered Voters,,,,,,989
Monmouth,Neptune Township 19,Registered Voters,,,,,,1074
Monmouth,Neptune Township 20,Registered Voters,,,,,,1019
Monmouth,Ocean Township 1,Registered Voters,,,,,,802
Monmouth,Ocean Township 2,Registered Voters,,,,,,639
Monmouth,Ocean Township 3,Registered Voters,,,,,,664
Monmouth,Ocean Township 4,Registered Voters,,,,,,936
Monmouth,Ocean Township 5,Registered Voters,,,,,,743
Monmouth,Ocean Township 6,Registered Voters,,,,,,1007
Monmouth,Ocean Township 7,Registered Voters,,,,,,741
Monmouth,Ocean Township 8,Registered Voters,,,,,,1023
Monmouth,Ocean Township 9,Registered Voters,,,,,,762
Monmouth,Ocean Township 10,Registered Voters,,,,,,675
Monmouth,Ocean Township 11,Registered Voters,,,,,,740
Monmouth,Ocean Township 12,Registered Voters,,,,,,1710
Monmouth,Ocean Township 13,Registered Voters,,,,,,1173
Monmouth,Ocean Township 14,Registered Voters,,,,,,752
Monmouth,Ocean Township 15,Registered Voters,,,,,,900
Monmouth,Ocean Township 16,Registered Voters,,,,,,747
Monmouth,Ocean Township 17,Registered Voters,,,,,,988
Monmouth,Ocean Township 18,Registered Voters,,,,,,965
Monmouth,Ocean Township 19,Registered Voters,,,,,,1116
Monmouth,Ocean Township 20,Registered Voters,,,,,,742
Monmouth,Ocean Township 21,Registered Voters,,,,,,969
Monmouth,Ocean Township 22,Registered Voters,,,,,,1502
Monmouth,Oceanport Borough 1,Registered Voters,,,,,,1356
Monmouth,Oceanport Borough 2,Registered Voters,,,,,,755
Monmouth,Oceanport Borough 3,Registered Voters,,,,,,1075
Monmouth,Oceanport Borough 4,Registered Voters,,,,,,768
Monmouth,Oceanport Borough 5,Registered Voters,,,,,,965
Monmouth,Red Bank Borough 1,Registered Voters,,,,,,525
Monmouth,Red Bank Borough 2,Registered Voters,,,,,,895
Monmouth,Red Bank Borough 3,Registered Voters,,,,,,703
Monmouth,Red Bank Borough 4,Registered Voters,,,,,,829
Monmouth,Red Bank Borough 5,Registered Voters,,,,,,829
Monmouth,Red Bank Borough 6,Registered Voters,,,,,,996
Monmouth,Red Bank Borough 7,Registered Voters,,,,,,856
Monmouth,Red Bank Borough 8,Registered Voters,,,,,,799
Monmouth,Red Bank Borough 9,Registered Voters,,,,,,719
Monmouth,Roosevelt Borough 1,Registered Voters,,,,,,668
Monmouth,Rumson Borough 1,Registered Voters,,,,,,1059
Monmouth,Rumson Borough 2,Registered Voters,,,,,,1227
Monmouth,Rumson Borough 3,Registered Voters,,,,,,1008
Monmouth,Rumson Borough 4,Registered Voters,,,,,,823
Monmouth,Rumson Borough 5,Registered Voters,,,,,,821
Monmouth,Rumson Borough 6,Registered Voters,,,,,,957
Monmouth,Sea Bright Borough 1,Registered Voters,,,,,,471
Monmouth,Sea Bright Borough 2,Registered Voters,,,,,,775
Monmouth,Sea Girt Borough 1,Registered Voters,,,,,,887
Monmouth,Sea Girt Borough 2,Registered Voters,,,,,,889
Monmouth,Shrewsbury Borough 1,Registered Voters,,,,,,1056
Monmouth,Shrewsbury Borough 2,Registered Voters,,,,,,892
Monmouth,Shrewsbury Borough 3,Registered Voters,,,,,,1489
Monmouth,Shrewsbury Township 1,Registered Voters,,,,,,697
Monmouth,Spring Lake Borough 1,Registered Voters,,,,,,719
Monmouth,Spring Lake Borough 2,Registered Voters,,,,,,660
Monmouth,Spring Lake Borough 3,Registered Voters,,,,,,588
Monmouth,Spring Lake Borough 4,Registered Voters,,,,,,689
Monmouth,Spring Lake Heights Borough 1,Registered Voters,,,,,,878
Monmouth,Spring Lake Heights Borough 2,Registered Voters,,,,,,872
Monmouth,Spring Lake Heights Borough 3,Registered Voters,,,,,,893
Monmouth,Spring Lake Heights Borough 4,Registered Voters,,,,,,872
Monmouth,Spring Lake Heights Borough 5,Registered Voters,,,,,,509
Monmouth,Tinton Falls Borough 1,Registered Voters,,,,,,1460
Monmouth,Tinton Falls Borough 2,Registered Voters,,,,,,1363
Monmouth,Tinton Falls Borough 3,Registered Voters,,,,,,1285
Monmouth,Tinton Falls Borough 4,Registered Voters,,,,,,1031
Monmouth,Tinton Falls Borough 5,Registered Voters,,,,,,1433
Monmouth,Tinton Falls Borough 6,Registered Voters,,,,,,802
Monmouth,Tinton Falls Borough 7,Registered Voters,,,,,,1023
Monmouth,Tinton Falls Borough 8,Registered Voters,,,,,,558
Monmouth,Tinton Falls Borough 9,Registered Voters,,,,,,1330
Monmouth,Tinton Falls Borough 10,Registered Voters,,,,,,988
Monmouth,Tinton Falls Borough 11,Registered Voters,,,,,,566
Monmouth,Tinton Falls Borough 12,Registered Voters,,,,,,558
Monmouth,Tinton Falls Borough 13,Registered Voters,,,,,,865
Monmouth,Tinton Falls Borough 14,Registered Voters,,,,,,721
Monmouth,Tinton Falls Borough 15,Registered Voters,,,,,,824
Monmouth,Union Beach Borough 1,Registered Voters,,,,,,614
Monmouth,Union Beach Borough 2,Registered Voters,,,,,,964
Monmouth,Union Beach Borough 3,Registered Voters,,,,,,732
Monmouth,Union Beach Borough 4,Registered Voters,,,,,,1002
Monmouth,Union Beach Borough 5,Registered Voters,,,,,,820
Monmouth,Upper Freehold Township 1,Registered Voters,,,,,,1102
Monmouth,Upper Freehold Township 2,Registered Voters,,,,,,1472
Monmouth,Upper Freehold Township 3,Registered Voters,,,,,,1427
Monmouth,Upper Freehold Township 4,Registered Voters,,,,,,1602
Monmouth,Wall Township 1,Registered Voters,,,,,,1483
Monmouth,Wall Township 2,Registered Voters,,,,,,1211
Monmouth,Wall Township 3,Registered Voters,,,,,,1142
Monmouth,Wall Township 4,Registered Voters,,,,,,1032
Monmouth,Wall Township 5,Registered Voters,,,,,,1180
Monmouth,Wall Township 6,Registered Voters,,,,,,1170
Monmouth,Wall Township 7,Registered Voters,,,,,,1060
Monmouth,Wall Township 8,Registered Voters,,,,,,965
Monmouth,Wall Township 9,Registered Voters,,,,,,1818
Monmouth,Wall Township 10,Registered Voters,,,,,,950
Monmouth,Wall Township 11,Registered Voters,,,,,,1364
Monmouth,Wall Township 12,Registered Voters,,,,,,1407
Monmouth,Wall Township 13,Registered Voters,,,,,,1010
Monmouth,Wall Township 14,Registered Voters,,,,,,920
Monmouth,Wall Township 15,Registered Voters,,,,,,869
Monmouth,Wall Township 16,Registered Voters,,,,,,975
Monmouth,Wall Township 17,Registered Voters,,,,,,1114
Monmouth,Wall Township 18,Registered Voters,,,,,,616
Monmouth,Wall Township 19,Registered Voters,,,,,,874
Monmouth,West Long Branch Borough 1,Registered Voters,,,,,,885
Monmouth,West Long Branch Borough 2,Registered Voters,,,,,,979
Monmouth,West Long Branch Borough 3,Registered Voters,,,,,,697
Monmouth,West Long Branch Borough 4,Registered Voters,,,,,,890
Monmouth,West Long Branch Borough 5,Registered Voters,,,,,,813
