county,precinct,office,district,candidate,party,votes,election_day,mail,provisional,emergency
Camden,Gloucester City W2 D1,Ballots Cast,,,,1846,1,1701,144,0
Camden,Gloucester City W2 D1,President,,Donald J. Trump,REP,822,,745,77,
Camden,Gloucester City W2 D1,President,,Joseph R. Biden,DEM,960,1,902,57,
Camden,Gloucester City W2 D1,President,,Gloria Estela La Riva,,1,,,1,
Camden,Gloucester City W2 D1,President,,Jo Jorgensen,,10,,8,2,
Camden,Gloucester City W2 D1,President,,Don Blankenship,,2,,2,,
Camden,Gloucester City W2 D1,President,,Bill Hammons,,1,,1,,
Camden,Gloucester City W2 D1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Gloucester City W2 D1,President,,Howie Hawkins,,6,,6,,
Camden,Gloucester City W2 D1,President,,Write-In,,6,,6,,
Camden,Gloucester City W2 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,749,,683,66,
Camden,Gloucester City W2 D1,U.S. Senate,,Cory Booker,DEM,999,1,934,64,
Camden,Gloucester City W2 D1,U.S. Senate,,Daniel Burke,,4,,3,1,
Camden,Gloucester City W2 D1,U.S. Senate,,Madelyn R. Hoffman,,8,,8,,
Camden,Gloucester City W2 D1,U.S. Senate,,Veronica Fernandez,,1,,,1,
Camden,Gloucester City W2 D1,U.S. Senate,,Write-In,,2,,2,,
Camden,Gloucester City W2 D1,U.S. House,1,Claire H. Gustafson,REP,745,,678,67,
Camden,Gloucester City W2 D1,U.S. House,1,Donald W. Norcross,DEM,1015,1,947,67,
Camden,Gloucester City W2 D1,U.S. House,1,Write-In,,6,,6,,
Camden,Gloucester City W3 D1,Registered Voters,,,,2378,,,,
Camden,Gloucester City W3 D1,Ballots Cast,,,,1446,0,1323,123,0
Camden,Gloucester City W3 D1,President,,Donald J. Trump,REP,640,,584,56,
Camden,Gloucester City W3 D1,President,,Joseph R. Biden,DEM,722,,670,52,
Camden,Gloucester City W3 D1,President,,Gloria Estela La Riva,,3,,3,,
Camden,Gloucester City W3 D1,President,,Jo Jorgensen,,10,,9,1,
Camden,Gloucester City W3 D1,President,,Don Blankenship,,2,,2,,
Camden,Gloucester City W3 D1,President,,Bill Hammons,,0,,,,
Camden,Gloucester City W3 D1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Gloucester City W3 D1,President,,Howie Hawkins,,5,,5,,
Camden,Gloucester City W3 D1,President,,Write-In,,5,,5,,
Camden,Gloucester City W3 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,605,,551,54,
Camden,Gloucester City W3 D1,U.S. Senate,,Cory Booker,DEM,732,,681,51,
Camden,Gloucester City W3 D1,U.S. Senate,,Daniel Burke,,3,,3,,
Camden,Gloucester City W3 D1,U.S. Senate,,Madelyn R. Hoffman,,19,,18,1,
Camden,Gloucester City W3 D1,U.S. Senate,,Veronica Fernandez,,10,,9,1,
Camden,Gloucester City W3 D1,U.S. Senate,,Write-In,,1,,1,,
Camden,Gloucester City W3 D1,U.S. House,1,Claire H. Gustafson,REP,605,,551,54,
Camden,Gloucester City W3 D1,U.S. House,1,Donald W. Norcross,DEM,781,,724,57,
Camden,Gloucester City W3 D1,U.S. House,1,Write-In,,3,,3,,
Camden,Gloucester Twp Dist 1,Registered Voters,,,,51072,,,,
Camden,Gloucester Twp Dist 1,Ballots Cast,,,,36538,545,33612,2381,0
Camden,Gloucester Twp Dist 1,President,,Donald J. Trump,REP,13926,155,12836,935,
Camden,Gloucester Twp Dist 1,President,,Joseph R. Biden,DEM,21132,372,19494,1266,
Camden,Gloucester Twp Dist 1,President,,Gloria Estela La Riva,,18,1,17,,
Camden,Gloucester Twp Dist 1,President,,Jo Jorgensen,,239,2,226,11,
Camden,Gloucester Twp Dist 1,President,,Don Blankenship,,25,1,23,1,
Camden,Gloucester Twp Dist 1,President,,Bill Hammons,,21,,20,1,
Camden,Gloucester Twp Dist 1,President,,"Roque ""Rocky"" De La Fuente",,14,,13,1,
Camden,Gloucester Twp Dist 1,President,,Howie Hawkins,,99,2,90,7,
Camden,Gloucester Twp Dist 1,President,,Write-In,,111,,100,11,
Camden,Gloucester Twp Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,13671,159,12615,897,
Camden,Gloucester Twp Dist 1,U.S. Senate,,Cory Booker,DEM,21021,361,19341,1319,
Camden,Gloucester Twp Dist 1,U.S. Senate,,Daniel Burke,,47,,46,1,
Camden,Gloucester Twp Dist 1,U.S. Senate,,Madelyn R. Hoffman,,222,3,204,15,
Camden,Gloucester Twp Dist 1,U.S. Senate,,Veronica Fernandez,,76,,70,6,
Camden,Gloucester Twp Dist 1,U.S. Senate,,Write-In,,21,,20,1,
Camden,Gloucester Twp Dist 1,U.S. House,1,Claire H. Gustafson,REP,13999,163,12904,932,
Camden,Gloucester Twp Dist 1,U.S. House,1,Donald W. Norcross,DEM,21180,359,19478,1343,
Camden,Gloucester Twp Dist 1,U.S. House,1,Write-In,,37,,36,1,
Camden,Haddon Twp Dist 1,Registered Voters,,,,12937,,,,
Camden,Haddon Twp Dist 1,Ballots Cast,,,,10094,43,9564,487,0
Camden,Haddon Twp Dist 1,President,,Donald J. Trump,REP,3180,7,2952,221,
Camden,Haddon Twp Dist 1,President,,Joseph R. Biden,DEM,6569,35,6308,226,
Camden,Haddon Twp Dist 1,President,,Gloria Estela La Riva,,5,,5,,
Camden,Haddon Twp Dist 1,President,,Jo Jorgensen,,102,,90,12,
Camden,Haddon Twp Dist 1,President,,Don Blankenship,,7,,7,,
Camden,Haddon Twp Dist 1,President,,Bill Hammons,,6,,6,,
Camden,Haddon Twp Dist 1,President,,"Roque ""Rocky"" De La Fuente",,4,,4,,
Camden,Haddon Twp Dist 1,President,,Howie Hawkins,,34,,34,,
Camden,Haddon Twp Dist 1,President,,Write-In,,44,,41,3,
Camden,Haddon Twp Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,3320,6,3092,222,
Camden,Haddon Twp Dist 1,U.S. Senate,,Cory Booker,DEM,6377,35,6113,229,
Camden,Haddon Twp Dist 1,U.S. Senate,,Daniel Burke,,6,,6,,
Camden,Haddon Twp Dist 1,U.S. Senate,,Madelyn R. Hoffman,,65,,63,2,
Camden,Haddon Twp Dist 1,U.S. Senate,,Veronica Fernandez,,25,,23,2,
Camden,Haddon Twp Dist 1,U.S. Senate,,Write-In,,12,,12,,
Camden,Haddon Twp Dist 1,U.S. House,1,Claire H. Gustafson,REP,3453,6,3210,237,
Camden,Haddon Twp Dist 1,U.S. House,1,Donald W. Norcross,DEM,6254,36,5991,227,
Camden,Haddon Twp Dist 1,U.S. House,1,Write-In,,34,,34,,
Camden,Haddonfield Dist 1,Registered Voters,,,,10589,,,,
Camden,Haddonfield Dist 1,Ballots Cast,,,,8383,61,7981,341,0
Camden,Haddonfield Dist 1,President,,Donald J. Trump,REP,2421,7,2247,167,
Camden,Haddonfield Dist 1,President,,Joseph R. Biden,DEM,5728,53,5514,161,
Camden,Haddonfield Dist 1,President,,Gloria Estela La Riva,,3,,3,,
Camden,Haddonfield Dist 1,President,,Jo Jorgensen,,74,,71,3,
Camden,Haddonfield Dist 1,President,,Don Blankenship,,8,,7,1,
Camden,Haddonfield Dist 1,President,,Bill Hammons,,7,,7,,
Camden,Haddonfield Dist 1,President,,"Roque ""Rocky"" De La Fuente",,5,,5,,
Camden,Haddonfield Dist 1,President,,Howie Hawkins,,24,,24,,
Camden,Haddonfield Dist 1,President,,Write-In,,44,1,40,3,
Camden,Haddonfield Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,2752,7,2571,174,
Camden,Haddonfield Dist 1,U.S. Senate,,Cory Booker,DEM,5400,51,5197,152,
Camden,Haddonfield Dist 1,U.S. Senate,,Daniel Burke,,7,,7,,
Camden,Haddonfield Dist 1,U.S. Senate,,Madelyn R. Hoffman,,43,,39,4,
Camden,Haddonfield Dist 1,U.S. Senate,,Veronica Fernandez,,6,1,4,1,
Camden,Haddonfield Dist 1,U.S. Senate,,Write-In,,3,1,2,,
Camden,Haddonfield Dist 1,U.S. House,1,Claire H. Gustafson,REP,3000,9,2814,177,
Camden,Haddonfield Dist 1,U.S. House,1,Donald W. Norcross,DEM,5072,48,4869,155,
Camden,Haddonfield Dist 1,U.S. House,1,Write-In,,30,1,29,,
Camden,Haddon Heights Dist 1,Registered Voters,,,,6531,,,,
Camden,Haddon Heights Dist 1,Ballots Cast,,,,5241,13,5033,195,0
Camden,Haddon Heights Dist 1,President,,Donald J. Trump,REP,1788,2,1693,93,
Camden,Haddon Heights Dist 1,President,,Joseph R. Biden,DEM,3281,11,3183,87,
Camden,Haddon Heights Dist 1,President,,Gloria Estela La Riva,,1,,1,,
Camden,Haddon Heights Dist 1,President,,Jo Jorgensen,,53,,51,2,
Camden,Haddon Heights Dist 1,President,,Don Blankenship,,6,,6,,
Camden,Haddon Heights Dist 1,President,,Bill Hammons,,5,,5,,
Camden,Haddon Heights Dist 1,President,,"Roque ""Rocky"" De La Fuente",,3,,2,1,
Camden,Haddon Heights Dist 1,President,,Howie Hawkins,,14,,13,1,
Camden,Haddon Heights Dist 1,President,,Write-In,,31,,27,4,
Camden,Haddon Heights Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1931,2,1838,91,
Camden,Haddon Heights Dist 1,U.S. Senate,,Cory Booker,DEM,3164,11,3056,97,
Camden,Haddon Heights Dist 1,U.S. Senate,,Daniel Burke,,3,,3,,
Camden,Haddon Heights Dist 1,U.S. Senate,,Madelyn R. Hoffman,,33,,32,1,
Camden,Haddon Heights Dist 1,U.S. Senate,,Veronica Fernandez,,8,,8,,
Camden,Haddon Heights Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Haddon Heights Dist 1,U.S. House,1,Claire H. Gustafson,REP,2004,2,1908,94,
Camden,Haddon Heights Dist 1,U.S. House,1,Donald W. Norcross,DEM,3087,11,2983,93,
Camden,Haddon Heights Dist 1,U.S. House,1,Write-In,,7,,6,1,
Camden,Hi-Nella Dist 1,Registered Voters,,,,720,,,,
Camden,Hi-Nella Dist 1,Ballots Cast,,,,469,1,442,26,0
Camden,Hi-Nella Dist 1,President,,Donald J. Trump,REP,141,,135,6,
Camden,Hi-Nella Dist 1,President,,Joseph R. Biden,DEM,315,1,295,19,
Camden,Hi-Nella Dist 1,President,,Gloria Estela La Riva,,1,,1,,
Camden,Hi-Nella Dist 1,President,,Jo Jorgensen,,2,,2,,
Camden,Hi-Nella Dist 1,President,,Don Blankenship,,0,,,,
Camden,Hi-Nella Dist 1,President,,Bill Hammons,,0,,,,
Camden,Hi-Nella Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Hi-Nella Dist 1,President,,Howie Hawkins,,1,,1,,
Camden,Hi-Nella Dist 1,President,,Write-In,,2,,2,,
Camden,Hi-Nella Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,138,,132,6,
Camden,Hi-Nella Dist 1,U.S. Senate,,Cory Booker,DEM,312,1,292,19,
Camden,Hi-Nella Dist 1,U.S. Senate,,Daniel Burke,,0,,,,
Camden,Hi-Nella Dist 1,U.S. Senate,,Madelyn R. Hoffman,,4,,4,,
Camden,Hi-Nella Dist 1,U.S. Senate,,Veronica Fernandez,,0,,,,
Camden,Hi-Nella Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Hi-Nella Dist 1,U.S. House,1,Claire H. Gustafson,REP,139,,131,8,
Camden,Hi-Nella Dist 1,U.S. House,1,Donald W. Norcross,DEM,313,1,295,17,
Camden,Hi-Nella Dist 1,U.S. House,1,Write-In,,2,,2,,
Camden,Laurel Springs Dist 1,Registered Voters,,,,1659,,,,
Camden,Laurel Springs Dist 1,Ballots Cast,,,,1236,5,1137,94,0
Camden,Laurel Springs Dist 1,President,,Donald J. Trump,REP,469,2,423,44,
Camden,Laurel Springs Dist 1,President,,Joseph R. Biden,DEM,707,3,661,43,
Camden,Laurel Springs Dist 1,President,,Gloria Estela La Riva,,0,,,,
Camden,Laurel Springs Dist 1,President,,Jo Jorgensen,,13,,12,1,
Camden,Laurel Springs Dist 1,President,,Don Blankenship,,2,,2,,
Camden,Laurel Springs Dist 1,President,,Bill Hammons,,1,,1,,
Camden,Laurel Springs Dist 1,President,,"Roque ""Rocky"" De La Fuente",,3,,3,,
Camden,Laurel Springs Dist 1,President,,Howie Hawkins,,7,,5,2,
Camden,Laurel Springs Dist 1,President,,Write-In,,8,,7,1,
Camden,Laurel Springs Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,482,2,435,45,
Camden,Laurel Springs Dist 1,U.S. Senate,,Cory Booker,DEM,677,2,632,43,
Camden,Laurel Springs Dist 1,U.S. Senate,,Daniel Burke,,1,,1,,
Camden,Laurel Springs Dist 1,U.S. Senate,,Madelyn R. Hoffman,,6,,6,,
Camden,Laurel Springs Dist 1,U.S. Senate,,Veronica Fernandez,,4,1,3,,
Camden,Laurel Springs Dist 1,U.S. Senate,,Write-In,,0,,,,
Camden,Laurel Springs Dist 1,U.S. House,1,Claire H. Gustafson,REP,486,2,442,42,
Camden,Laurel Springs Dist 1,U.S. House,1,Donald W. Norcross,DEM,684,3,632,49,
Camden,Laurel Springs Dist 1,U.S. House,1,Write-In,,4,,4,,
Camden,Lawnside Dist 1,Registered Voters,,,,2577,,,,
Camden,Lawnside Dist 1,Ballots Cast,,,,1787,5,1599,183,0
Camden,Lawnside Dist 1,President,,Donald J. Trump,REP,78,1,62,15,
Camden,Lawnside Dist 1,President,,Joseph R. Biden,DEM,1617,3,1463,151,
Camden,Lawnside Dist 1,President,,Gloria Estela La Riva,,0,,,,
Camden,Lawnside Dist 1,President,,Jo Jorgensen,,6,,6,,
Camden,Lawnside Dist 1,President,,Don Blankenship,,1,,1,,
Camden,Lawnside Dist 1,President,,Bill Hammons,,0,,,,
Camden,Lawnside Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,,1,
Camden,Lawnside Dist 1,President,,Howie Hawkins,,2,,2,,
Camden,Lawnside Dist 1,President,,Write-In,,2,,2,,
Camden,Lawnside Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,70,1,57,12,
Camden,Lawnside Dist 1,U.S. Senate,,Cory Booker,DEM,1635,3,1473,159,
Camden,Lawnside Dist 1,U.S. Senate,,Daniel Burke,,0,,,,
Camden,Lawnside Dist 1,U.S. Senate,,Madelyn R. Hoffman,,10,,10,,
Camden,Lawnside Dist 1,U.S. Senate,,Veronica Fernandez,,3,,3,,
Camden,Lawnside Dist 1,U.S. Senate,,Write-In,,0,,,,
Camden,Lawnside Dist 1,U.S. House,1,Claire H. Gustafson,REP,104,1,84,19,
Camden,Lawnside Dist 1,U.S. House,1,Donald W. Norcross,DEM,1608,3,1454,151,
Camden,Lawnside Dist 1,U.S. House,1,Write-In,,0,,,,
Camden,Lindenwold Dist 1,Registered Voters,,,,11936,,,,
Camden,Lindenwold Dist 1,Ballots Cast,,,,7267,15,6518,734,0
Camden,Lindenwold Dist 1,President,,Donald J. Trump,REP,1592,3,1430,159,
Camden,Lindenwold Dist 1,President,,Joseph R. Biden,DEM,5262,11,4739,512,
Camden,Lindenwold Dist 1,President,,Gloria Estela La Riva,,4,,3,1,
Camden,Lindenwold Dist 1,President,,Jo Jorgensen,,35,,29,6,
Camden,Lindenwold Dist 1,President,,Don Blankenship,,7,,6,1,
Camden,Lindenwold Dist 1,President,,Bill Hammons,,4,,4,,
Camden,Lindenwold Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Lindenwold Dist 1,President,,Howie Hawkins,,28,,23,5,
Camden,Lindenwold Dist 1,President,,Write-In,,17,,17,,
Camden,Lindenwold Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1490,3,1344,143,
Camden,Lindenwold Dist 1,U.S. Senate,,Cory Booker,DEM,5301,11,4769,521,
Camden,Lindenwold Dist 1,U.S. Senate,,Daniel Burke,,11,,11,,
Camden,Lindenwold Dist 1,U.S. Senate,,Madelyn R. Hoffman,,42,,39,3,
Camden,Lindenwold Dist 1,U.S. Senate,,Veronica Fernandez,,13,,10,3,
Camden,Lindenwold Dist 1,U.S. Senate,,Write-In,,11,,11,,
Camden,Lindenwold Dist 1,U.S. House,1,Claire H. Gustafson,REP,1588,3,1429,156,
Camden,Lindenwold Dist 1,U.S. House,1,Donald W. Norcross,DEM,5412,11,4863,538,
Camden,Lindenwold Dist 1,U.S. House,1,Write-In,,17,,15,2,
Camden,Magnolia Dist 1,Registered Voters,,,,3500,,,,
Camden,Magnolia Dist 1,Ballots Cast,,,,2489,4,2285,200,0
Camden,Magnolia Dist 1,President,,Donald J. Trump,REP,825,,756,69,
Camden,Magnolia Dist 1,President,,Joseph R. Biden,DEM,1533,4,1417,112,
Camden,Magnolia Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Magnolia Dist 1,President,,Jo Jorgensen,,33,,31,2,
Camden,Magnolia Dist 1,President,,Don Blankenship,,1,,1,,
Camden,Magnolia Dist 1,President,,Bill Hammons,,1,,1,,
Camden,Magnolia Dist 1,President,,"Roque ""Rocky"" De La Fuente",,2,,2,,
Camden,Magnolia Dist 1,President,,Howie Hawkins,,11,,8,3,
Camden,Magnolia Dist 1,President,,Write-In,,9,,8,1,
Camden,Magnolia Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,825,,761,64,
Camden,Magnolia Dist 1,U.S. Senate,,Cory Booker,DEM,1539,4,1420,115,
Camden,Magnolia Dist 1,U.S. Senate,,Daniel Burke,,0,,,,
Camden,Magnolia Dist 1,U.S. Senate,,Madelyn R. Hoffman,,15,,13,2,
Camden,Magnolia Dist 1,U.S. Senate,,Veronica Fernandez,,9,,7,2,
Camden,Magnolia Dist 1,U.S. Senate,,Write-In,,3,,2,1,
Camden,Magnolia Dist 1,U.S. House,1,Claire H. Gustafson,REP,848,,778,70,
Camden,Magnolia Dist 1,U.S. House,1,Donald W. Norcross,DEM,1556,4,1431,121,
Camden,Magnolia Dist 1,U.S. House,1,Write-In,,4,,4,,
Camden,Merchantville Dist 1,Registered Voters,,,,3087,,,,
Camden,Merchantville Dist 1,Ballots Cast,,,,2184,1,2029,154,0
Camden,Merchantville Dist 1,President,,Donald J. Trump,REP,633,,582,51,
Camden,Merchantville Dist 1,President,,Joseph R. Biden,DEM,1458,,1369,89,
Camden,Merchantville Dist 1,President,,Gloria Estela La Riva,,1,,1,,
Camden,Merchantville Dist 1,President,,Jo Jorgensen,,22,,21,1,
Camden,Merchantville Dist 1,President,,Don Blankenship,,1,,1,,
Camden,Merchantville Dist 1,President,,Bill Hammons,,1,,1,,
Camden,Merchantville Dist 1,President,,"Roque ""Rocky"" De La Fuente",,2,,1,1,
Camden,Merchantville Dist 1,President,,Howie Hawkins,,7,,7,,
Camden,Merchantville Dist 1,President,,Write-In,,10,,7,3,
Camden,Merchantville Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,639,,592,47,
Camden,Merchantville Dist 1,U.S. Senate,,Cory Booker,DEM,1435,,1342,93,
Camden,Merchantville Dist 1,U.S. Senate,,Daniel Burke,,2,,2,,
Camden,Merchantville Dist 1,U.S. Senate,,Madelyn R. Hoffman,,18,,15,3,
Camden,Merchantville Dist 1,U.S. Senate,,Veronica Fernandez,,11,,10,1,
Camden,Merchantville Dist 1,U.S. Senate,,Write-In,,3,,3,,
Camden,Merchantville Dist 1,U.S. House,1,Claire H. Gustafson,REP,684,,628,56,
Camden,Merchantville Dist 1,U.S. House,1,Donald W. Norcross,DEM,1399,1,1311,87,
Camden,Merchantville Dist 1,U.S. House,1,Write-In,,7,,6,1,
Camden,Mt Ephraim Dist 1,Registered Voters,,,,3699,,,,
Camden,Mt Ephraim Dist 1,Ballots Cast,,,,2773,5,2641,127,0
Camden,Mt Ephraim Dist 1,President,,Donald J. Trump,REP,1214,2,1149,63,
Camden,Mt Ephraim Dist 1,President,,Joseph R. Biden,DEM,1453,3,1394,56,
Camden,Mt Ephraim Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Mt Ephraim Dist 1,President,,Jo Jorgensen,,33,,29,4,
Camden,Mt Ephraim Dist 1,President,,Don Blankenship,,0,,,,
Camden,Mt Ephraim Dist 1,President,,Bill Hammons,,3,,3,,
Camden,Mt Ephraim Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Mt Ephraim Dist 1,President,,Howie Hawkins,,11,,11,,
Camden,Mt Ephraim Dist 1,President,,Write-In,,11,,10,1,
Camden,Mt Ephraim Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1125,2,1064,59,
Camden,Mt Ephraim Dist 1,U.S. Senate,,Cory Booker,DEM,1498,3,1435,60,
Camden,Mt Ephraim Dist 1,U.S. Senate,,Daniel Burke,,6,,6,,
Camden,Mt Ephraim Dist 1,U.S. Senate,,Madelyn R. Hoffman,,20,,20,,
Camden,Mt Ephraim Dist 1,U.S. Senate,,Veronica Fernandez,,3,,3,,
Camden,Mt Ephraim Dist 1,U.S. Senate,,Write-In,,3,,2,1,
Camden,Mt Ephraim Dist 1,U.S. House,1,Claire H. Gustafson,REP,1111,2,1045,64,
Camden,Mt Ephraim Dist 1,U.S. House,1,Donald W. Norcross,DEM,1541,3,1482,56,
Camden,Mt Ephraim Dist 1,U.S. House,1,Write-In,,2,,2,,
Camden,Oaklyn Dist 1,Registered Voters,,,,3328,,,,
Camden,Oaklyn Dist 1,Ballots Cast,,,,2466,13,2305,148,0
Camden,Oaklyn Dist 1,President,,Donald J. Trump,REP,790,3,729,58,
Camden,Oaklyn Dist 1,President,,Joseph R. Biden,DEM,1586,10,1495,81,
Camden,Oaklyn Dist 1,President,,Gloria Estela La Riva,,3,,3,,
Camden,Oaklyn Dist 1,President,,Jo Jorgensen,,32,,32,,
Camden,Oaklyn Dist 1,President,,Don Blankenship,,0,,,,
Camden,Oaklyn Dist 1,President,,Bill Hammons,,5,,5,,
Camden,Oaklyn Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Oaklyn Dist 1,President,,Howie Hawkins,,11,,11,,
Camden,Oaklyn Dist 1,President,,Write-In,,7,,5,2,
Camden,Oaklyn Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,761,4,698,59,
Camden,Oaklyn Dist 1,U.S. Senate,,Cory Booker,DEM,1560,7,1474,79,
Camden,Oaklyn Dist 1,U.S. Senate,,Daniel Burke,,1,,1,,
Camden,Oaklyn Dist 1,U.S. Senate,,Madelyn R. Hoffman,,27,,25,2,
Camden,Oaklyn Dist 1,U.S. Senate,,Veronica Fernandez,,14,,12,2,
Camden,Oaklyn Dist 1,U.S. Senate,,Write-In,,3,,3,,
Camden,Oaklyn Dist 1,U.S. House,1,Claire H. Gustafson,REP,822,4,757,61,
Camden,Oaklyn Dist 1,U.S. House,1,Donald W. Norcross,DEM,1510,7,1427,76,
Camden,Oaklyn Dist 1,U.S. House,1,Write-In,,4,,4,,
Camden,Pennsauken Dist 1,Registered Voters,,,,27106,,,,
Camden,Pennsauken Dist 1,Ballots Cast,,,,17830,54,15585,2191,0
Camden,Pennsauken Dist 1,President,,Donald J. Trump,REP,4294,15,3672,607,
Camden,Pennsauken Dist 1,President,,Joseph R. Biden,DEM,12562,35,11158,1369,
Camden,Pennsauken Dist 1,President,,Gloria Estela La Riva,,21,,15,6,
Camden,Pennsauken Dist 1,President,,Jo Jorgensen,,79,1,67,11,
Camden,Pennsauken Dist 1,President,,Don Blankenship,,8,,6,2,
Camden,Pennsauken Dist 1,President,,Bill Hammons,,4,,4,,
Camden,Pennsauken Dist 1,President,,"Roque ""Rocky"" De La Fuente",,5,,4,1,
Camden,Pennsauken Dist 1,President,,Howie Hawkins,,48,,45,3,
Camden,Pennsauken Dist 1,President,,Write-In,,52,,48,4,
Camden,Pennsauken Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,4039,16,3475,548,
Camden,Pennsauken Dist 1,U.S. Senate,,Cory Booker,DEM,12605,33,11160,1412,
Camden,Pennsauken Dist 1,U.S. Senate,,Daniel Burke,,13,,13,,
Camden,Pennsauken Dist 1,U.S. Senate,,Madelyn R. Hoffman,,81,,70,11,
Camden,Pennsauken Dist 1,U.S. Senate,,Veronica Fernandez,,70,,57,13,
Camden,Pennsauken Dist 1,U.S. Senate,,Write-In,,19,,17,2,
Camden,Pennsauken Dist 1,U.S. House,1,Claire H. Gustafson,REP,4352,15,3732,605,
Camden,Pennsauken Dist 1,U.S. House,1,Donald W. Norcross,DEM,12656,33,11191,1432,
Camden,Pennsauken Dist 1,U.S. House,1,Write-In,,23,,18,5,
Camden,Pine Hill Dist 1,Registered Voters,,,,7802,,,,
Camden,Pine Hill Dist 1,Ballots Cast,,,,5233,9,4799,425,0
Camden,Pine Hill Dist 1,President,,Donald J. Trump,REP,1659,5,1529,125,
Camden,Pine Hill Dist 1,President,,Joseph R. Biden,DEM,3326,3,3057,266,
Camden,Pine Hill Dist 1,President,,Gloria Estela La Riva,,6,,6,,
Camden,Pine Hill Dist 1,President,,Jo Jorgensen,,33,1,30,2,
Camden,Pine Hill Dist 1,President,,Don Blankenship,,4,,3,1,
Camden,Pine Hill Dist 1,President,,Bill Hammons,,2,,2,,
Camden,Pine Hill Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Pine Hill Dist 1,President,,Howie Hawkins,,16,,13,3,
Camden,Pine Hill Dist 1,President,,Write-In,,17,,12,5,
Camden,Pine Hill Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1574,6,1450,118,
Camden,Pine Hill Dist 1,U.S. Senate,,Cory Booker,DEM,3349,3,3083,263,
Camden,Pine Hill Dist 1,U.S. Senate,,Daniel Burke,,12,,9,3,
Camden,Pine Hill Dist 1,U.S. Senate,,Madelyn R. Hoffman,,35,,32,3,
Camden,Pine Hill Dist 1,U.S. Senate,,Veronica Fernandez,,17,,14,3,
Camden,Pine Hill Dist 1,U.S. Senate,,Write-In,,5,,3,2,
Camden,Pine Hill Dist 1,U.S. House,1,Claire H. Gustafson,REP,1604,6,1475,123,
Camden,Pine Hill Dist 1,U.S. House,1,Donald W. Norcross,DEM,3415,3,3140,272,
Camden,Pine Hill Dist 1,U.S. House,1,Write-In,,2,,2,,
Camden,Pine Valley Dist 1,Registered Voters,,,,13,,,,
Camden,Pine Valley Dist 1,Ballots Cast,,,,11,0,11,0,0
Camden,Pine Valley Dist 1,President,,Donald J. Trump,REP,9,,9,,
Camden,Pine Valley Dist 1,President,,Joseph R. Biden,DEM,2,,2,,
Camden,Pine Valley Dist 1,President,,Gloria Estela La Riva,,0,,,,
Camden,Pine Valley Dist 1,President,,Jo Jorgensen,,0,,,,
Camden,Pine Valley Dist 1,President,,Don Blankenship,,0,,,,
Camden,Pine Valley Dist 1,President,,Bill Hammons,,0,,,,
Camden,Pine Valley Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Pine Valley Dist 1,President,,Howie Hawkins,,0,,,,
Camden,Pine Valley Dist 1,President,,Write-In,,0,,,,
Camden,Pine Valley Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,9,,9,,
Camden,Pine Valley Dist 1,U.S. Senate,,Cory Booker,DEM,2,,2,,
Camden,Pine Valley Dist 1,U.S. Senate,,Daniel Burke,,0,,,,
Camden,Pine Valley Dist 1,U.S. Senate,,Madelyn R. Hoffman,,0,,,,
Camden,Pine Valley Dist 1,U.S. Senate,,Veronica Fernandez,,0,,,,
Camden,Pine Valley Dist 1,U.S. Senate,,Write-In,,0,,,,
Camden,Pine Valley Dist 1,U.S. House,1,Claire H. Gustafson,REP,11,,11,,
