county,precinct,office,district,party,candidate,votes,early_voting,mail,provisional,election_day
Atlantic,Atlantic City W4 D4,President,,DEM,Kamala D. HARRIS,153,34,24,15,80
Atlantic,Atlantic City W6 D1,President,,DEM,Kamala D. HARRIS,333,40,90,34,169
Atlantic,Atlantic City W6 D2,President,,DEM,Kamala D. HARRIS,292,49,53,38,152
Atlantic,Atlantic City W6 D3,President,,DEM,Kamala D. HARRIS,260,38,60,8,154
Atlantic,Atlantic City W6 D4,President,,DEM,Kamala D. HARRIS,285,50,114,9,112
Atlantic,Brigantine Ward 01,President,,DEM,Kamala D. HARRIS,467,49,101,12,305
Atlantic,Brigantine Ward 02,President,,DEM,Kamala D. HARRIS,453,78,112,0,263
Atlantic,Brigantine Ward 03,President,,DEM,Kamala D. HARRIS,476,55,131,17,273
Atlantic,Brigantine Ward 04,President,,DEM,Kamala D. HARRIS,437,56,108,9,264
Atlantic,Buena Borough D01,President,,DEM,Kamala D. HARRIS,385,77,80,9,219
Atlantic,Buena Borough D02,President,,DEM,Kamala D. HARRIS,431,90,73,7,261
Atlantic,Buena Vista Township D01,President,,DEM,Kamala D. HARRIS,357,86,79,6,186
Atlantic,Buena Vista Township D02,President,,DEM,Kamala D. HARRIS,335,71,107,2,155
Atlantic,Buena Vista Township D03,President,,DEM,Kamala D. HARRIS,475,177,79,5,214
Atlantic,Buena Vista Township D04,President,,DEM,Kamala D. HARRIS,266,63,57,5,141
Atlantic,Corbin City,President,,DEM,Kamala D. HARRIS,92,10,16,1,65
Atlantic,Egg Harbor City W1 D1,President,,DEM,Kamala D. HARRIS,129,19,21,3,86
Atlantic,Egg Harbor City W1 D2,President,,DEM,Kamala D. HARRIS,124,20,18,2,84
Atlantic,Egg Harbor City W1 D3,President,,DEM,Kamala D. HARRIS,217,32,55,6,124
Atlantic,Egg Harbor City W2 D1,President,,DEM,Kamala D. HARRIS,191,23,36,3,129
Atlantic,Egg Harbor City W2 D2,President,,DEM,Kamala D. HARRIS,136,28,26,6,76
Atlantic,Egg Harbor City W2 D3,President,,DEM,Kamala D. HARRIS,147,18,26,6,97
Atlantic,Egg Harbor Township D01,President,,DEM,Kamala D. HARRIS,397,144,94,5,154
Atlantic,Egg Harbor Township D02,President,,DEM,Kamala D. HARRIS,414,137,98,9,170
Atlantic,Egg Harbor Township D03,President,,DEM,Kamala D. HARRIS,545,222,118,11,194
Atlantic,Egg Harbor Township D04,President,,DEM,Kamala D. HARRIS,412,138,86,6,182
Atlantic,Egg Harbor Township D05,President,,DEM,Kamala D. HARRIS,589,177,124,10,278
Atlantic,Egg Harbor Township D06,President,,DEM,Kamala D. HARRIS,417,141,71,4,201
Atlantic,Egg Harbor Township D07,President,,DEM,Kamala D. HARRIS,482,146,69,12,255
Atlantic,Egg Harbor Township D08,President,,DEM,Kamala D. HARRIS,623,134,94,23,372
Atlantic,Egg Harbor Township D09,President,,DEM,Kamala D. HARRIS,749,219,141,16,373
Atlantic,Egg Harbor Township D10,President,,DEM,Kamala D. HARRIS,652,212,132,10,298
Atlantic,Egg Harbor Township D11,President,,DEM,Kamala D. HARRIS,624,214,100,22,288
Atlantic,Egg Harbor Township D12,President,,DEM,Kamala D. HARRIS,422,137,91,11,183
Atlantic,Egg Harbor Township D13,President,,DEM,Kamala D. HARRIS,165,41,28,6,90
Atlantic,Egg Harbor Township D14,President,,DEM,Kamala D. HARRIS,289,37,43,10,199
Atlantic,Egg Harbor Township D15,President,,DEM,Kamala D. HARRIS,495,104,89,15,287
Atlantic,Egg Harbor Township D16,President,,DEM,Kamala D. HARRIS,448,105,47,19,277
Atlantic,Egg Harbor Township D17,President,,DEM,Kamala D. HARRIS,749,235,182,19,313
Atlantic,Egg Harbor Township D18,President,,DEM,Kamala D. HARRIS,434,139,101,5,189
Atlantic,Egg Harbor Township D19,President,,DEM,Kamala D. HARRIS,631,226,187,6,212
Atlantic,Egg Harbor Township D20,President,,DEM,Kamala D. HARRIS,615,161,99,15,340
Atlantic,Egg Harbor Township D21,President,,DEM,Kamala D. HARRIS,510,170,108,11,221
Atlantic,Egg Harbor Township D22,President,,DEM,Kamala D. HARRIS,373,119,60,7,187
Atlantic,Estell Manor,President,,DEM,Kamala D. HARRIS,298,61,63,3,171
Atlantic,Folsom,President,,DEM,Kamala D. HARRIS,326,77,72,6,171
Atlantic,Galloway Township D01,President,,DEM,Kamala D. HARRIS,530,211,102,11,206
Atlantic,Galloway Township D02,President,,DEM,Kamala D. HARRIS,360,112,70,11,167
Atlantic,Galloway Township D03,President,,DEM,Kamala D. HARRIS,501,238,84,7,172
Atlantic,Galloway Township D04,President,,DEM,Kamala D. HARRIS,347,52,83,0,212
Atlantic,Galloway Township D05,President,,DEM,Kamala D. HARRIS,558,226,90,13,229
Atlantic,Galloway Township D06,President,,DEM,Kamala D. HARRIS,451,175,90,9,177
Atlantic,Galloway Township D07,President,,DEM,Kamala D. HARRIS,210,88,46,3,73
Atlantic,Galloway Township D08,President,,DEM,Kamala D. HARRIS,560,164,87,15,294
Atlantic,Galloway Township D09,President,,DEM,Kamala D. HARRIS,520,195,118,10,197
Atlantic,Galloway Township D10,President,,DEM,Kamala D. HARRIS,541,163,82,15,281
Atlantic,Galloway Township D11,President,,DEM,Kamala D. HARRIS,644,210,121,18,295
Atlantic,Galloway Township D12,President,,DEM,Kamala D. HARRIS,618,223,135,19,241
Atlantic,Galloway Township D13,President,,DEM,Kamala D. HARRIS,419,153,118,10,138
Atlantic,Galloway Township D14,President,,DEM,Kamala D. HARRIS,558,193,168,11,186
Atlantic,Galloway Township D15,President,,DEM,Kamala D. HARRIS,534,177,86,8,263
Atlantic,Galloway Township D16,President,,DEM,Kamala D. HARRIS,635,245,102,21,267
Atlantic,Galloway Township D17,President,,DEM,Kamala D. HARRIS,879,325,209,19,326
Atlantic,Hamilton Township D01,President,,DEM,Kamala D. HARRIS,512,172,86,12,242
Atlantic,Hamilton Township D02,President,,DEM,Kamala D. HARRIS,389,100,85,9,195
Atlantic,Hamilton Township D03,President,,DEM,Kamala D. HARRIS,300,57,49,8,186
Atlantic,Hamilton Township D04,President,,DEM,Kamala D. HARRIS,725,214,123,19,369
Atlantic,Hamilton Township D05,President,,DEM,Kamala D. HARRIS,357,96,59,11,191
Atlantic,Hamilton Township D06,President,,DEM,Kamala D. HARRIS,366,101,68,5,192
Atlantic,Hamilton Township D07,President,,DEM,Kamala D. HARRIS,744,255,130,11,348
Atlantic,Hamilton Township D08,President,,DEM,Kamala D. HARRIS,448,156,96,9,187
Atlantic,Hamilton Township D09,President,,DEM,Kamala D. HARRIS,697,214,144,11,328
Atlantic,Hamilton Township D10,President,,DEM,Kamala D. HARRIS,508,101,135,10,262
Atlantic,Hamilton Township D11,President,,DEM,Kamala D. HARRIS,740,231,120,32,357
Atlantic,Hamilton Township D12,President,,DEM,Kamala D. HARRIS,413,150,118,5,140
Atlantic,Hamilton Township D13,President,,DEM,Kamala D. HARRIS,737,177,101,17,442
Atlantic,Hammonton D01,President,,DEM,Kamala D. HARRIS,409,153,75,5,176
Atlantic,Hammonton D02,President,,DEM,Kamala D. HARRIS,298,106,53,4,135
Atlantic,Hammonton D03,President,,DEM,Kamala D. HARRIS,378,141,85,3,149
Atlantic,Hammonton D04,President,,DEM,Kamala D. HARRIS,334,78,69,2,185
Atlantic,Hammonton D05,President,,DEM,Kamala D. HARRIS,447,147,99,7,194
Atlantic,Hammonton D06,President,,DEM,Kamala D. HARRIS,293,90,72,5,126
Atlantic,Hammonton D07,President,,DEM,Kamala D. HARRIS,450,166,85,11,188
Atlantic,Linwood W1 D1,President,,DEM,Kamala D. HARRIS,621,158,170,13,280
Atlantic,Linwood W1 D2,President,,DEM,Kamala D. HARRIS,372,92,105,6,169
Atlantic,Linwood W2 D1,President,,DEM,Kamala D. HARRIS,387,84,87,8,208
Atlantic,Linwood W2 D2,President,,DEM,Kamala D. HARRIS,287,68,67,3,149
Atlantic,Linwood W2 D3,President,,DEM,Kamala D. HARRIS,304,79,79,2,144
Atlantic,Longport,President,,DEM,Kamala D. HARRIS,210,32,69,1,108
Atlantic,Margate D01,President,,DEM,Kamala D. HARRIS,518,76,161,12,269
Atlantic,Margate D02,President,,DEM,Kamala D. HARRIS,500,82,165,7,246
Atlantic,Margate D03,President,,DEM,Kamala D. HARRIS,393,60,144,4,185
Atlantic,Margate D04,President,,DEM,Kamala D. HARRIS,254,42,86,3,123
Atlantic,Mullica Township D1,President,,DEM,Kamala D. HARRIS,389,83,67,9,230
Atlantic,Mullica Township D2,President,,DEM,Kamala D. HARRIS,365,61,110,4,190
Atlantic,Mullica Township D3,President,,DEM,Kamala D. HARRIS,342,69,75,1,197
Atlantic,Northfield W1 D1,President,,DEM,Kamala D. HARRIS,247,70,51,8,118
Atlantic,Northfield W1 D2,President,,DEM,Kamala D. HARRIS,223,75,43,4,101
Atlantic,Northfield W1 D3,President,,DEM,Kamala D. HARRIS,275,94,65,5,111
Atlantic,Northfield W1 D4,President,,DEM,Kamala D. HARRIS,264,90,61,3,110
Atlantic,Northfield W2 D1,President,,DEM,Kamala D. HARRIS,227,56,58,3,110
Atlantic,Northfield W2 D2,President,,DEM,Kamala D. HARRIS,277,79,64,2,132
Atlantic,Northfield W2 D3,President,,DEM,Kamala D. HARRIS,348,99,81,13,155
Atlantic,Northfield W2 D4,President,,DEM,Kamala D. HARRIS,326,99,62,5,160
Atlantic,Pleasantville W1 D1,President,,DEM,Kamala D. HARRIS,622,128,84,20,390
Atlantic,Pleasantville W1 D2,President,,DEM,Kamala D. HARRIS,463,70,57,23,313
Atlantic,Pleasantville W1 D3,President,,DEM,Kamala D. HARRIS,523,85,100,14,324
Atlantic,Pleasantville W1 D4,President,,DEM,Kamala D. HARRIS,532,93,80,19,340
Atlantic,Pleasantville W2 D1,President,,DEM,Kamala D. HARRIS,429,60,71,27,271
Atlantic,Pleasantville W2 D2,President,,DEM,Kamala D. HARRIS,573,101,104,27,341
Atlantic,Pleasantville W2 D3,President,,DEM,Kamala D. HARRIS,637,106,129,29,373
Atlantic,Pleasantville W2 D4,President,,DEM,Kamala D. HARRIS,593,107,118,18,350
Atlantic,Port Republic Ward 1,President,,DEM,Kamala D. HARRIS,146,23,33,0,90
Atlantic,Port Republic Ward 2,President,,DEM,Kamala D. HARRIS,116,13,18,1,84
Atlantic,Somers Point W1 D1,President,,DEM,Kamala D. HARRIS,273,49,53,5,166
Atlantic,Somers Point W1 D2,President,,DEM,Kamala D. HARRIS,343,84,70,8,181
Atlantic,Somers Point W1 D3,President,,DEM,Kamala D. HARRIS,145,29,33,1,82
Atlantic,Somers Point W1 D4,President,,DEM,Kamala D. HARRIS,395,92,90,2,211
Atlantic,Somers Point W2 D1,President,,DEM,Kamala D. HARRIS,311,56,95,4,156
Atlantic,Somers Point W2 D2,President,,DEM,Kamala D. HARRIS,192,39,53,4,96
Atlantic,Somers Point W2 D3,President,,DEM,Kamala D. HARRIS,262,45,34,3,180
Atlantic,Somers Point W2 D4,President,,DEM,Kamala D. HARRIS,459,85,84,15,275
Atlantic,Ventnor D01,President,,DEM,Kamala D. HARRIS,539,96,170,17,256
Atlantic,Ventnor D02,President,,DEM,Kamala D. HARRIS,424,78,112,6,228
Atlantic,Ventnor D03,President,,DEM,Kamala D. HARRIS,470,93,163,10,204
Atlantic,Ventnor D04,President,,DEM,Kamala D. HARRIS,322,45,68,5,204
Atlantic,Ventnor D05,President,,DEM,Kamala D. HARRIS,389,53,94,9,233
Atlantic,Weymouth D01,President,,DEM,Kamala D. HARRIS,214,29,36,1,148
Atlantic,Weymouth D02,President,,DEM,Kamala D. HARRIS,442,126,129,6,181
Atlantic,Atlantic City W5 D1,President,,DEM,Kamala D. HARRIS,373,71,171,18,113
Atlantic,Atlantic City W5 D2,President,,DEM,Kamala D. HARRIS,414,107,150,13,144
Atlantic,Absecon W1 D1,President,,NP,Randall A. TERRY,0,0,0,0,0
Atlantic,Absecon W1 D2,President,,NP,Randall A. TERRY,1,0,0,0,1
Atlantic,Absecon W1 D3,President,,NP,Randall A. TERRY,2,1,0,0,1
Atlantic,Absecon W2 D1,President,,NP,Randall A. TERRY,1,0,1,0,0
Atlantic,Absecon W2 D2,President,,NP,Randall A. TERRY,3,0,0,0,3
Atlantic,Absecon W2 D3,President,,NP,Randall A. TERRY,1,0,0,0,1
Atlantic,Atlantic City W1 D1,President,,NP,Randall A. TERRY,2,0,0,0,2
Atlantic,Atlantic City W1 D2,President,,NP,Randall A. TERRY,1,0,1,0,0
Atlantic,Atlantic City W1 D3,President,,NP,Randall A. TERRY,0,0,0,0,0
Atlantic,Atlantic City W1 D4,President,,NP,Randall A. TERRY,0,0,0,0,0
Atlantic,Atlantic City W2 D1,President,,NP,Randall A. TERRY,0,0,0,0,0
Atlantic,Atlantic City W2 D2,President,,NP,Randall A. TERRY,2,0,0,1,1
