county,precinct,office,district,party,candidate,votes,election_day,mail,military,provisional,emergency
Sussex,0002 ANDOVER TWP 1,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0003 ANDOVER TWP 2,,,,Registered Voters,576,,,,,
Sussex,0003 ANDOVER TWP 2,,,,Ballots Cast,351,289,53,0,9,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,REP,Bob Hugin,215,184,25,0,6,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,DEM,Robert Menendez,108,81,24,0,3,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,LIB,Murray Sabrin,6,6,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,MIS,Kevin Kimple,1,1,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,NDN,Tricia Flanagan,5,3,2,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,FTP,Natalie Lynn Rivera,2,2,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,ECG,Hank Schroeder,3,3,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,GRN,Madelyn R. Hoffman,7,7,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. Senate,,,Write-ins,2,2,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. House,5,REP,"John J. McCann, Jr.",189,161,21,0,7,0
Sussex,0003 ANDOVER TWP 2,U.S. House,5,DEM,Josh Gottheimer,149,116,31,0,2,0
Sussex,0003 ANDOVER TWP 2,U.S. House,5,THE,Wendy W. Goetz,2,2,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. House,5,LIB,James Tosone,7,7,0,0,0,0
Sussex,0003 ANDOVER TWP 2,U.S. House,5,,Write-ins,1,1,0,0,0,0
Sussex,0004 ANDOVER TWP 3,,,,Registered Voters,887,,,,,
Sussex,0004 ANDOVER TWP 3,,,,Ballots Cast,516,426,85,0,5,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,REP,Bob Hugin,341,290,48,0,3,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,DEM,Robert Menendez,151,118,31,0,2,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,LIB,Murray Sabrin,6,5,1,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,MIS,Kevin Kimple,2,2,0,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,NDN,Tricia Flanagan,2,1,1,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,FTP,Natalie Lynn Rivera,3,3,0,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,GRN,Madelyn R. Hoffman,6,4,2,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. House,5,REP,"John J. McCann, Jr.",300,258,40,0,2,0
Sussex,0004 ANDOVER TWP 3,U.S. House,5,DEM,Josh Gottheimer,202,155,44,0,3,0
Sussex,0004 ANDOVER TWP 3,U.S. House,5,THE,Wendy W. Goetz,7,7,0,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. House,5,LIB,James Tosone,5,4,1,0,0,0
Sussex,0004 ANDOVER TWP 3,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0005 ANDOVER TWP 4,,,,Registered Voters,404,,,,,
Sussex,0005 ANDOVER TWP 4,,,,Ballots Cast,245,204,41,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,REP,Bob Hugin,159,137,22,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,DEM,Robert Menendez,75,57,18,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,LIB,Murray Sabrin,6,6,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,MIS,Kevin Kimple,0,0,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,NDN,Tricia Flanagan,2,1,1,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,FTP,Natalie Lynn Rivera,0,0,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,GRN,Madelyn R. Hoffman,3,3,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. House,5,REP,"John J. McCann, Jr.",129,112,17,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. House,5,DEM,Josh Gottheimer,109,86,23,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. House,5,THE,Wendy W. Goetz,4,4,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. House,5,LIB,James Tosone,2,2,0,0,0,0
Sussex,0005 ANDOVER TWP 4,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0006 ANDOVER TWP 5,,,,Registered Voters,661,,,,,
Sussex,0006 ANDOVER TWP 5,,,,Ballots Cast,417,359,57,0,1,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,REP,Bob Hugin,252,216,35,0,1,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,DEM,Robert Menendez,140,123,17,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,LIB,Murray Sabrin,5,4,1,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,MIS,Kevin Kimple,1,1,0,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,NDN,Tricia Flanagan,4,2,2,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,FTP,Natalie Lynn Rivera,1,0,1,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,GRN,Madelyn R. Hoffman,9,8,1,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. Senate,,,Write-ins,1,1,0,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. House,5,REP,"John J. McCann, Jr.",218,188,29,0,1,0
Sussex,0006 ANDOVER TWP 5,U.S. House,5,DEM,Josh Gottheimer,194,167,27,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. House,5,THE,Wendy W. Goetz,0,0,0,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. House,5,LIB,James Tosone,3,2,1,0,0,0
Sussex,0006 ANDOVER TWP 5,U.S. House,5,,Write-ins,1,1,0,0,0,0
Sussex,0007 ANDOVER TWP 6,,,,Registered Voters,840,,,,,
Sussex,0007 ANDOVER TWP 6,,,,Ballots Cast,501,424,71,0,6,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,REP,Bob Hugin,299,261,35,0,3,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,DEM,Robert Menendez,171,140,29,0,2,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,LIB,Murray Sabrin,10,7,2,0,1,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,MIS,Kevin Kimple,0,0,0,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,NDN,Tricia Flanagan,5,4,1,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,FTP,Natalie Lynn Rivera,3,3,0,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,GRN,Madelyn R. Hoffman,8,6,2,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. Senate,,,Write-ins,1,0,1,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. House,5,REP,"John J. McCann, Jr.",267,235,29,0,3,0
Sussex,0007 ANDOVER TWP 6,U.S. House,5,DEM,Josh Gottheimer,221,178,40,0,3,0
Sussex,0007 ANDOVER TWP 6,U.S. House,5,THE,Wendy W. Goetz,3,2,1,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. House,5,LIB,James Tosone,6,6,0,0,0,0
Sussex,0007 ANDOVER TWP 6,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,,,,Registered Voters,597,,,,,
Sussex,0008 BRANCHVILLE BORO,,,,Ballots Cast,363,328,32,0,3,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,REP,Bob Hugin,224,202,19,0,3,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,DEM,Robert Menendez,116,105,11,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,LIB,Murray Sabrin,4,4,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,MIS,Kevin Kimple,1,1,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,NDN,Tricia Flanagan,1,0,1,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,FTP,Natalie Lynn Rivera,5,5,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,GRN,Madelyn R. Hoffman,4,4,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. House,5,REP,"John J. McCann, Jr.",179,166,11,0,2,0
Sussex,0008 BRANCHVILLE BORO,U.S. House,5,DEM,Josh Gottheimer,175,154,20,0,1,0
Sussex,0008 BRANCHVILLE BORO,U.S. House,5,THE,Wendy W. Goetz,3,3,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. House,5,LIB,James Tosone,3,3,0,0,0,0
Sussex,0008 BRANCHVILLE BORO,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0009 BYRAM TWP 1,,,,Registered Voters,1021,,,,,
Sussex,0009 BYRAM TWP 1,,,,Ballots Cast,567,509,54,0,4,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,REP,Bob Hugin,369,336,31,0,2,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,DEM,Robert Menendez,169,145,22,0,2,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,LIB,Murray Sabrin,6,6,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,MIS,Kevin Kimple,4,4,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,NDN,Tricia Flanagan,6,6,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,FTP,Natalie Lynn Rivera,4,4,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,GRN,Madelyn R. Hoffman,5,4,1,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. House,11,REP,Jay Webber,313,290,22,0,1,0
Sussex,0009 BYRAM TWP 1,U.S. House,11,DEM,Mikie Sherrill,234,200,31,0,3,0
Sussex,0009 BYRAM TWP 1,U.S. House,11,HIC,Robert F. Crook,15,15,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. House,11,LIB,Ryan Martinez,3,3,0,0,0,0
Sussex,0009 BYRAM TWP 1,U.S. House,11,,Write-ins,0,0,0,0,0,0
Sussex,0010 BYRAM TWP 2,,,,Registered Voters,1037,,,,,
Sussex,0010 BYRAM TWP 2,,,,Ballots Cast,630,551,74,0,5,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,REP,Bob Hugin,378,336,38,0,4,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,DEM,Robert Menendez,215,181,33,0,1,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,LIB,Murray Sabrin,6,6,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,MIS,Kevin Kimple,6,6,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,NDN,Tricia Flanagan,12,10,2,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,FTP,Natalie Lynn Rivera,4,4,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,GRN,Madelyn R. Hoffman,6,6,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. House,11,REP,Jay Webber,344,310,30,0,4,0
Sussex,0010 BYRAM TWP 2,U.S. House,11,DEM,Mikie Sherrill,269,224,44,0,1,0
Sussex,0010 BYRAM TWP 2,U.S. House,11,HIC,Robert F. Crook,9,9,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. House,11,LIB,Ryan Martinez,6,6,0,0,0,0
Sussex,0010 BYRAM TWP 2,U.S. House,11,,Write-ins,1,1,0,0,0,0
Sussex,0011 BYRAM TWP 3,,,,Registered Voters,1013,,,,,
Sussex,0011 BYRAM TWP 3,,,,Ballots Cast,659,572,80,0,7,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,REP,Bob Hugin,392,354,36,0,2,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,DEM,Robert Menendez,238,192,42,0,4,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,LIB,Murray Sabrin,7,6,0,0,1,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,MIS,Kevin Kimple,1,1,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,NDN,Tricia Flanagan,3,3,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,FTP,Natalie Lynn Rivera,3,3,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,ECG,Hank Schroeder,3,3,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,GRN,Madelyn R. Hoffman,10,8,2,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. House,11,REP,Jay Webber,329,296,32,0,1,0
Sussex,0011 BYRAM TWP 3,U.S. House,11,DEM,Mikie Sherrill,313,259,48,0,6,0
Sussex,0011 BYRAM TWP 3,U.S. House,11,HIC,Robert F. Crook,9,9,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. House,11,LIB,Ryan Martinez,6,6,0,0,0,0
Sussex,0011 BYRAM TWP 3,U.S. House,11,,Write-ins,0,0,0,0,0,0
Sussex,0012 BYRAM TWP 4,,,,Registered Voters,905,,,,,
Sussex,0012 BYRAM TWP 4,,,,Ballots Cast,543,481,57,3,2,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,REP,Bob Hugin,346,309,34,3,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,DEM,Robert Menendez,184,159,23,0,2,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,LIB,Murray Sabrin,5,5,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,MIS,Kevin Kimple,0,0,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,NDN,Tricia Flanagan,3,3,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,FTP,Natalie Lynn Rivera,0,0,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,GRN,Madelyn R. Hoffman,3,3,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. House,11,REP,Jay Webber,306,271,32,3,0,0
Sussex,0012 BYRAM TWP 4,U.S. House,11,DEM,Mikie Sherrill,227,201,24,0,2,0
Sussex,0012 BYRAM TWP 4,U.S. House,11,HIC,Robert F. Crook,3,3,0,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. House,11,LIB,Ryan Martinez,4,3,1,0,0,0
Sussex,0012 BYRAM TWP 4,U.S. House,11,,Write-ins,0,0,0,0,0,0
Sussex,0013 BYRAM TWP 5,,,,Registered Voters,821,,,,,
Sussex,0013 BYRAM TWP 5,,,,Ballots Cast,485,449,31,0,5,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,REP,Bob Hugin,291,273,15,0,3,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,DEM,Robert Menendez,165,150,13,0,2,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,LIB,Murray Sabrin,11,10,1,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,MIS,Kevin Kimple,3,3,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,NDN,Tricia Flanagan,4,2,2,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,FTP,Natalie Lynn Rivera,4,4,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,GRN,Madelyn R. Hoffman,3,3,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. House,11,REP,Jay Webber,253,240,13,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. House,11,DEM,Mikie Sherrill,212,190,17,0,5,0
Sussex,0013 BYRAM TWP 5,U.S. House,11,HIC,Robert F. Crook,2,2,0,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. House,11,LIB,Ryan Martinez,12,11,1,0,0,0
Sussex,0013 BYRAM TWP 5,U.S. House,11,,Write-ins,0,0,0,0,0,0
Sussex,0014 BYRAM TWP 6,,,,Registered Voters,1362,,,,,
Sussex,0014 BYRAM TWP 6,,,,Ballots Cast,810,730,70,2,8,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,REP,Bob Hugin,491,457,30,0,4,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,DEM,Robert Menendez,271,230,35,2,4,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,LIB,Murray Sabrin,15,15,0,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,MIS,Kevin Kimple,4,3,1,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,NDN,Tricia Flanagan,8,6,2,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,FTP,Natalie Lynn Rivera,9,9,0,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,GRN,Madelyn R. Hoffman,5,4,1,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. Senate,,,Write-ins,2,2,0,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. House,11,REP,Jay Webber,436,408,25,0,3,0
Sussex,0014 BYRAM TWP 6,U.S. House,11,DEM,Mikie Sherrill,354,303,44,2,5,0
Sussex,0014 BYRAM TWP 6,U.S. House,11,HIC,Robert F. Crook,9,8,1,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. House,11,LIB,Ryan Martinez,8,8,0,0,0,0
Sussex,0014 BYRAM TWP 6,U.S. House,11,,Write-ins,0,0,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,,,,Registered Voters,968,,,,,
Sussex,0015 FRANKFORD TWP 1,,,,Ballots Cast,603,518,77,1,7,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,REP,Bob Hugin,405,351,48,1,5,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,DEM,Robert Menendez,174,147,27,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,LIB,Murray Sabrin,4,4,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,MIS,Kevin Kimple,5,4,0,0,1,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,NDN,Tricia Flanagan,3,2,1,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,FTP,Natalie Lynn Rivera,6,5,1,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,GRN,Madelyn R. Hoffman,3,3,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. House,5,REP,"John J. McCann, Jr.",356,305,45,1,5,0
Sussex,0015 FRANKFORD TWP 1,U.S. House,5,DEM,Josh Gottheimer,233,200,31,0,2,0
Sussex,0015 FRANKFORD TWP 1,U.S. House,5,THE,Wendy W. Goetz,10,9,1,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. House,5,LIB,James Tosone,2,2,0,0,0,0
Sussex,0015 FRANKFORD TWP 1,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,,,,Registered Voters,950,,,,,
Sussex,0016 FRANKFORD TWP 2,,,,Ballots Cast,544,459,74,1,10,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,REP,Bob Hugin,351,300,48,1,2,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,DEM,Robert Menendez,166,133,25,0,8,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,LIB,Murray Sabrin,10,10,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,MIS,Kevin Kimple,3,3,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,NDN,Tricia Flanagan,3,2,1,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,FTP,Natalie Lynn Rivera,2,2,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,GRN,Madelyn R. Hoffman,6,6,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. House,5,REP,"John J. McCann, Jr.",311,263,45,0,3,0
Sussex,0016 FRANKFORD TWP 2,U.S. House,5,DEM,Josh Gottheimer,222,185,29,1,7,0
Sussex,0016 FRANKFORD TWP 2,U.S. House,5,THE,Wendy W. Goetz,7,7,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. House,5,LIB,James Tosone,3,3,0,0,0,0
Sussex,0016 FRANKFORD TWP 2,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,,,,Registered Voters,944,,,,,
Sussex,0017 FRANKFORD TWP 3,,,,Ballots Cast,581,500,77,1,3,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,REP,Bob Hugin,399,345,50,1,3,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,DEM,Robert Menendez,154,132,22,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,LIB,Murray Sabrin,6,6,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,MIS,Kevin Kimple,4,4,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,NDN,Tricia Flanagan,4,4,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,FTP,Natalie Lynn Rivera,4,3,1,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,GRN,Madelyn R. Hoffman,7,4,3,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. Senate,,,Write-ins,2,2,0,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. House,5,REP,"John J. McCann, Jr.",363,314,45,1,3,0
Sussex,0017 FRANKFORD TWP 3,U.S. House,5,DEM,Josh Gottheimer,206,178,28,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. House,5,THE,Wendy W. Goetz,6,2,4,0,0,0
Sussex,0017 FRANKFORD TWP 3,U.S. House,5,LIB,James Tosone,3,3,0,0,0,0
