county,precinct,office,district,party,candidate,votes,trump,clinton,castle,johnson,la riva,de la fuente,moorehead,stein,kennedy,write-in
Camden,Cherry Hill Dist 33,President,,,Registered Voters,1259,,,,,,,,,,
Camden,Cherry Hill Dist 34,President,,,Registered Voters,1302,,,,,,,,,,
Camden,Cherry Hill Dist 35,President,,,Registered Voters,1272,,,,,,,,,,
Camden,Cherry Hill Dist 36,President,,,Registered Voters,1176,,,,,,,,,,
Camden,Cherry Hill Dist 37,President,,,Registered Voters,1046,,,,,,,,,,
Camden,Cherry Hill Dist 38,President,,,Registered Voters,853,,,,,,,,,,
Camden,Cherry Hill Dist 39,President,,,Registered Voters,1209,,,,,,,,,,
Camden,Cherry Hill Dist 40,President,,,Registered Voters,839,,,,,,,,,,
Camden,Cherry Hill Dist 41,President,,,Registered Voters,920,,,,,,,,,,
Camden,Cherry Hill Dist 42,President,,,Registered Voters,718,,,,,,,,,,
Camden,Cherry Hill Dist 43,President,,,Registered Voters,1031,,,,,,,,,,
Camden,Cherry Hill Dist 44,President,,,Registered Voters,1373,,,,,,,,,,
Camden,Cherry Hill Dist 45,President,,,Registered Voters,1650,,,,,,,,,,
Camden,Cherry Hill Dist 46,President,,,Registered Voters,1102,,,,,,,,,,
Camden,Cherry Hill Dist 47,President,,,Registered Voters,980,,,,,,,,,,
Camden,Cherry Hill Dist 48,President,,,Registered Voters,594,,,,,,,,,,
Camden,Cherry Hill Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Cherry Hill Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Cherry Hill Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Cherry Hill Twp,President,,,Registered Voters,54146,,,,,,,,,,
Camden,Chesilhurst Dist 1,President,,,Registered Voters,1120,,,,,,,,,,
Camden,Chesilhurst Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Chesilhurst Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Chesilhurst Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Chesilhurst Borough,President,,,Registered Voters,1120,,,,,,,,,,
Camden,Clementon Dist 1,President,,,Registered Voters,965,,,,,,,,,,
Camden,Clementon Dist 2,President,,,Registered Voters,973,,,,,,,,,,
Camden,Clementon Dist 3,President,,,Registered Voters,1205,,,,,,,,,,
Camden,Clementon Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Clementon Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Clementon Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Clementon Borough,President,,,Registered Voters,3143,,,,,,,,,,
Camden,Collingswood Dist 1,President,,,Registered Voters,769,,,,,,,,,,
Camden,Collingswood Dist 2,President,,,Registered Voters,1024,,,,,,,,,,
Camden,Collingswood Dist 3,President,,,Registered Voters,577,,,,,,,,,,
Camden,Collingswood Dist 4,President,,,Registered Voters,882,,,,,,,,,,
Camden,Collingswood Dist 5,President,,,Registered Voters,1004,,,,,,,,,,
Camden,Collingswood Dist 6,President,,,Registered Voters,719,,,,,,,,,,
Camden,Collingswood Dist 7,President,,,Registered Voters,985,,,,,,,,,,
Camden,Collingswood Dist 8,President,,,Registered Voters,874,,,,,,,,,,
Camden,Collingswood Dist 9,President,,,Registered Voters,1319,,,,,,,,,,
Camden,Collingswood Dist 10,President,,,Registered Voters,844,,,,,,,,,,
Camden,Collingswood Dist 11,President,,,Registered Voters,902,,,,,,,,,,
Camden,Collingswood Dist 12,President,,,Registered Voters,636,,,,,,,,,,
Camden,Collingswood Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Collingswood Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Collingswood Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Collingswood Borough,President,,,Registered Voters,10535,,,,,,,,,,
Camden,Gibbsboro Dist 1,President,,,Registered Voters,961,,,,,,,,,,
Camden,Gibbsboro Dist 2,President,,,Registered Voters,791,,,,,,,,,,
Camden,Gibbsboro Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gibbsboro Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gibbsboro Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gibbsboro Borough,President,,,Registered Voters,1752,,,,,,,,,,
Camden,Gloucester City W1 D1,President,,,Registered Voters,815,,,,,,,,,,
Camden,Gloucester City W1 D2,President,,,Registered Voters,703,,,,,,,,,,
Camden,Gloucester City W1 D3,President,,,Registered Voters,652,,,,,,,,,,
Camden,Gloucester City Ward 1 Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City Ward 1,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City W1,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City W2 D1,President,,,Registered Voters,703,,,,,,,,,,
Camden,Gloucester City W2 D2,President,,,Registered Voters,826,,,,,,,,,,
Camden,Gloucester City W2 D3,President,,,Registered Voters,909,,,,,,,,,,
Camden,Gloucester City Ward 2 Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City Ward 2,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City W2,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City W3 D1,President,,,Registered Voters,976,,,,,,,,,,
Camden,Gloucester City W3 D2,President,,,Registered Voters,1043,,,,,,,,,,
Camden,Gloucester City Ward 3 Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City Ward 3,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester City W3,President,,,Registered Voters,0,,,,,,,,,,
Camden,City of Gloucester,President,,,Registered Voters,6627,,,,,,,,,,
Camden,Gloucester Twp Dist 1,President,,,Registered Voters,644,,,,,,,,,,
Camden,Gloucester Twp Dist 2,President,,,Registered Voters,703,,,,,,,,,,
Camden,Gloucester Twp Dist 3,President,,,Registered Voters,833,,,,,,,,,,
Camden,Gloucester Twp Dist 4,President,,,Registered Voters,1062,,,,,,,,,,
Camden,Gloucester Twp Dist 5,President,,,Registered Voters,1257,,,,,,,,,,
Camden,Gloucester Twp Dist 6,President,,,Registered Voters,1408,,,,,,,,,,
Camden,Gloucester Twp Dist 7,President,,,Registered Voters,1097,,,,,,,,,,
Camden,Gloucester Twp Dist 8,President,,,Registered Voters,1117,,,,,,,,,,
Camden,Gloucester Twp Dist 9,President,,,Registered Voters,1257,,,,,,,,,,
Camden,Gloucester Twp Dist 10,President,,,Registered Voters,905,,,,,,,,,,
Camden,Gloucester Twp Dist 11,President,,,Registered Voters,1035,,,,,,,,,,
Camden,Gloucester Twp Dist 12,President,,,Registered Voters,1171,,,,,,,,,,
Camden,Gloucester Twp Dist 13,President,,,Registered Voters,1514,,,,,,,,,,
Camden,Gloucester Twp Dist 14,President,,,Registered Voters,1143,,,,,,,,,,
Camden,Gloucester Twp Dist 15,President,,,Registered Voters,1257,,,,,,,,,,
Camden,Gloucester Twp Dist 16,President,,,Registered Voters,1160,,,,,,,,,,
Camden,Gloucester Twp Dist 17,President,,,Registered Voters,2162,,,,,,,,,,
Camden,Gloucester Twp Dist 18,President,,,Registered Voters,1416,,,,,,,,,,
Camden,Gloucester Twp Dist 19,President,,,Registered Voters,1335,,,,,,,,,,
Camden,Gloucester Twp Dist 20,President,,,Registered Voters,1182,,,,,,,,,,
Camden,Gloucester Twp Dist 21,President,,,Registered Voters,720,,,,,,,,,,
Camden,Gloucester Twp Dist 22,President,,,Registered Voters,886,,,,,,,,,,
Camden,Gloucester Twp Dist 23,President,,,Registered Voters,1215,,,,,,,,,,
Camden,Gloucester Twp Dist 24,President,,,Registered Voters,1199,,,,,,,,,,
Camden,Gloucester Twp Dist 25,President,,,Registered Voters,1183,,,,,,,,,,
Camden,Gloucester Twp Dist 26,President,,,Registered Voters,907,,,,,,,,,,
Camden,Gloucester Twp Dist 27,President,,,Registered Voters,990,,,,,,,,,,
Camden,Gloucester Twp Dist 28,President,,,Registered Voters,1302,,,,,,,,,,
Camden,Gloucester Twp Dist 29,President,,,Registered Voters,1302,,,,,,,,,,
Camden,Gloucester Twp Dist 30,President,,,Registered Voters,1354,,,,,,,,,,
Camden,Gloucester Twp Dist 31,President,,,Registered Voters,888,,,,,,,,,,
Camden,Gloucester Twp Dist 32,President,,,Registered Voters,1229,,,,,,,,,,
Camden,Gloucester Twp Dist 33,President,,,Registered Voters,1277,,,,,,,,,,
Camden,Gloucester Twp Dist 34,President,,,Registered Voters,866,,,,,,,,,,
Camden,Gloucester Twp Dist 35,President,,,Registered Voters,1373,,,,,,,,,,
Camden,Gloucester Twp Dist 36,President,,,Registered Voters,954,,,,,,,,,,
Camden,Gloucester Twp Dist 37,President,,,Registered Voters,522,,,,,,,,,,
Camden,Gloucester Twp Dist 38,President,,,Registered Voters,570,,,,,,,,,,
Camden,Gloucester Twp Dist 39,President,,,Registered Voters,566,,,,,,,,,,
Camden,Gloucester Twp Dist 40,President,,,Registered Voters,1116,,,,,,,,,,
Camden,Gloucester Twp Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester Twp Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester Twp Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Gloucester Twp,President,,,Registered Voters,44077,,,,,,,,,,
Camden,Haddon Heights Dist 1,President,,,Registered Voters,764,,,,,,,,,,
Camden,Haddon Heights Dist 2,President,,,Registered Voters,644,,,,,,,,,,
Camden,Haddon Heights Dist 3,President,,,Registered Voters,1068,,,,,,,,,,
Camden,Haddon Heights Dist 4,President,,,Registered Voters,627,,,,,,,,,,
Camden,Haddon Heights Dist 5,President,,,Registered Voters,907,,,,,,,,,,
Camden,Haddon Heights Dist 6,President,,,Registered Voters,920,,,,,,,,,,
Camden,Haddon Heights Dist 7,President,,,Registered Voters,936,,,,,,,,,,
Camden,Haddon Heights Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Heights Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Heights Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Heights Borough,President,,,Registered Voters,5866,,,,,,,,,,
Camden,Haddon Twp Dist 1,President,,,Registered Voters,701,,,,,,,,,,
Camden,Haddon Twp Dist 2,President,,,Registered Voters,719,,,,,,,,,,
Camden,Haddon Twp Dist 3,President,,,Registered Voters,1083,,,,,,,,,,
Camden,Haddon Twp Dist 4,President,,,Registered Voters,691,,,,,,,,,,
Camden,Haddon Twp Dist 5,President,,,Registered Voters,490,,,,,,,,,,
Camden,Haddon Twp Dist 6,President,,,Registered Voters,675,,,,,,,,,,
Camden,Haddon Twp Dist 7,President,,,Registered Voters,640,,,,,,,,,,
Camden,Haddon Twp Dist 8,President,,,Registered Voters,923,,,,,,,,,,
Camden,Haddon Twp Dist 9,President,,,Registered Voters,603,,,,,,,,,,
Camden,Haddon Twp Dist 10,President,,,Registered Voters,680,,,,,,,,,,
Camden,Haddon Twp Dist 11,President,,,Registered Voters,898,,,,,,,,,,
Camden,Haddon Twp Dist 12,President,,,Registered Voters,1334,,,,,,,,,,
Camden,Haddon Twp Dist 13,President,,,Registered Voters,661,,,,,,,,,,
Camden,Haddon Twp Dist 14,President,,,Registered Voters,695,,,,,,,,,,
Camden,Haddon Twp Dist 15,President,,,Registered Voters,681,,,,,,,,,,
Camden,Haddon Twp Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Twp Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Twp Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddon Twp,President,,,Registered Voters,11474,,,,,,,,,,
Camden,Haddonfield Dist 1,President,,,Registered Voters,1191,,,,,,,,,,
Camden,Haddonfield Dist 2,President,,,Registered Voters,1335,,,,,,,,,,
Camden,Haddonfield Dist 3,President,,,Registered Voters,928,,,,,,,,,,
Camden,Haddonfield Dist 4,President,,,Registered Voters,778,,,,,,,,,,
Camden,Haddonfield Dist 5,President,,,Registered Voters,677,,,,,,,,,,
Camden,Haddonfield Dist 6,President,,,Registered Voters,975,,,,,,,,,,
Camden,Haddonfield Dist 7,President,,,Registered Voters,956,,,,,,,,,,
Camden,Haddonfield Dist 8,President,,,Registered Voters,1032,,,,,,,,,,
Camden,Haddonfield Dist 9,President,,,Registered Voters,1103,,,,,,,,,,
Camden,Haddonfield Dist 10,President,,,Registered Voters,803,,,,,,,,,,
Camden,Haddonfield Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddonfield Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddonfield Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Haddonfield Borough,President,,,Registered Voters,9778,,,,,,,,,,
Camden,Hi-Nella Dist 1,President,,,Registered Voters,587,,,,,,,,,,
Camden,Hi-Nella Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Hi-Nella Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Hi-Nella Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Hi-Nella Borough,President,,,Registered Voters,587,,,,,,,,,,
Camden,Laurel Springs Dist 1,President,,,Registered Voters,621,,,,,,,,,,
Camden,Laurel Springs Dist 2,President,,,Registered Voters,758,,,,,,,,,,
Camden,Laurel Springs Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Laurel Springs Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Laurel Springs Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Laurel Springs Borough,President,,,Registered Voters,1379,,,,,,,,,,
Camden,Lawnside Dist 1,President,,,Registered Voters,1112,,,,,,,,,,
Camden,Lawnside Dist 2,President,,,Registered Voters,1165,,,,,,,,,,
Camden,Lawnside Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lawnside Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lawnside Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lawnside Borough,President,,,Registered Voters,2277,,,,,,,,,,
Camden,Lindenwold Dist 1,President,,,Registered Voters,1317,,,,,,,,,,
Camden,Lindenwold Dist 2,President,,,Registered Voters,1139,,,,,,,,,,
Camden,Lindenwold Dist 3,President,,,Registered Voters,927,,,,,,,,,,
Camden,Lindenwold Dist 4,President,,,Registered Voters,1434,,,,,,,,,,
Camden,Lindenwold Dist 5,President,,,Registered Voters,1326,,,,,,,,,,
Camden,Lindenwold Dist 6,President,,,Registered Voters,1243,,,,,,,,,,
Camden,Lindenwold Dist 7,President,,,Registered Voters,814,,,,,,,,,,
Camden,Lindenwold Dist 8,President,,,Registered Voters,1380,,,,,,,,,,
Camden,Lindenwold Dist 9,President,,,Registered Voters,631,,,,,,,,,,
Camden,Lindenwold Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lindenwold Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lindenwold Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Lindenwold Borough,President,,,Registered Voters,10211,,,,,,,,,,
Camden,Magnolia Dist 1,President,,,Registered Voters,799,,,,,,,,,,
Camden,Magnolia Dist 2,President,,,Registered Voters,617,,,,,,,,,,
Camden,Magnolia Dist 3,President,,,Registered Voters,771,,,,,,,,,,
Camden,Magnolia Dist 4,President,,,Registered Voters,771,,,,,,,,,,
Camden,Magnolia Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Magnolia Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Magnolia Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Magnolia Borough,President,,,Registered Voters,2958,,,,,,,,,,
Camden,Merchantville Dist 1,President,,,Registered Voters,1168,,,,,,,,,,
Camden,Merchantville Dist 2,President,,,Registered Voters,738,,,,,,,,,,
Camden,Merchantville Dist 3,President,,,Registered Voters,800,,,,,,,,,,
Camden,Merchantville Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Merchantville Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Merchantville Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Merchantville Borough,President,,,Registered Voters,2706,,,,,,,,,,
