candidate,office,district,party,county ,votes
Bill Pascrell Jr.,U.S. House,9,Democratic,Hudson ,2573
Bill Pascrell Jr.,U.S. House,9,Democratic,Passaic ,21862
Hector L. Castillo,U.S. House,9,Republican,Bergen ,8209
Hector L. Castillo,U.S. House,9,Republican,Hudson ,605
Hector L. Castillo,U.S. House,9,Republican,Passaic ,3943
Donald M. Payne Jr.,U.S. House,10,Democratic,Essex ,47944
Donald M. Payne Jr.,U.S. House,10,Democratic,Hudson ,12682
Donald M. Payne Jr.,U.S. House,10,Democratic,Union ,14549
David H. Pinckney,U.S. House,10,Republican,Essex ,1545
David H. Pinckney,U.S. House,10,Republican,Hudson ,1032
David H. Pinckney,U.S. House,10,Republican,Union ,818
Rodney P. Frelinghuysen,U.S. House,11,Republican,Essex ,7073
Rodney P. Frelinghuysen,U.S. House,11,Republican,Morris ,26977
Rodney P. Frelinghuysen,U.S. House,11,Republican,Passaic ,7198
Rodney P. Frelinghuysen,U.S. House,11,Republican,Sussex ,3370
Rick Van Glahn,U.S. House,11,Republican,Essex ,1407
Rick Van Glahn,U.S. House,11,Republican,Morris ,9282
Rick Van Glahn,U.S. House,11,Republican,Passaic ,1564
Rick Van Glahn,U.S. House,11,Republican,Sussex ,1656
Joseph M. Wenzel,U.S. House,11,Democratic,Essex ,13288
Joseph M. Wenzel,U.S. House,11,Democratic,Morris ,15769
Joseph M. Wenzel,U.S. House,11,Democratic,Passaic ,5132
Joseph M. Wenzel,U.S. House,11,Democratic,Sussex ,499
Richard Mcfarlane,U.S. House,11,Democratic,Essex ,2280
Richard Mcfarlane,U.S. House,11,Democratic,Morris ,3381
Richard Mcfarlane,U.S. House,11,Democratic,Passaic ,1546
Richard Mcfarlane,U.S. House,11,Democratic,Sussex ,1544
Lee Anne Brogowski,U.S. House,11,Democratic,Essex ,1333
Lee Anne Brogowski,U.S. House,11,Democratic,Morris ,3132
Lee Anne Brogowski,U.S. House,11,Democratic,Passaic ,354
Lee Anne Brogowski,U.S. House,11,Democratic,Sussex ,980
Bonnie Watson Coleman,U.S. House,12,Democratic,Mercer ,27931
Bonnie Watson Coleman,U.S. House,12,Democratic,Middlesex ,22510
Bonnie Watson Coleman,U.S. House,12,Democratic,Somerset ,8455
Bonnie Watson Coleman,U.S. House,12,Democratic,Union ,7583
Alexander J. Kucsma,U.S. House,12,Democratic,Mercer ,1680
Alexander J. Kucsma,U.S. House,12,Democratic,Middlesex ,1491
Alexander J. Kucsma,U.S. House,12,Democratic,Somerset ,649
Alexander J. Kucsma,U.S. House,12,Democratic,Union ,705
Steven J. Uccio,U.S. House,12,Republican,Mercer ,4729
Steven J. Uccio,U.S. House,12,Republican,Middlesex ,10037
Steven J. Uccio,U.S. House,12,Republican,Somerset ,2852
Steven J. Uccio,U.S. House,12,Republican,Union ,1022
